status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,BLADE ARCUS Rebellion from Shining,49800,9960,80%,2025-09-10,2025/9/23 23:59,https://store.nintendo.co.kr/70010000015478
added,조니 트리거,7150,2500,65%,2025-09-10,2025/10/6 23:59,https://store.nintendo.co.kr/70010000075722
added,소닉 프론티어 디럭스 에디션,64800,22680,65%,2025-09-10,2025/9/23 23:59,https://store.nintendo.co.kr/70070000015102
added,뿌요뿌요™테트리스® S,29800,14900,50%,2025-09-10,2025/9/23 23:59,https://store.nintendo.co.kr/70010000009163
added,Cats Visiting the Cinema,4990,3740,25%,2025-09-10,2025/9/24 23:59,https://store.nintendo.co.kr/70010000102532
added,Timberdoku,13500,5910,56%,2025-09-10,2025/10/6 23:59,https://store.nintendo.co.kr/70010000073059
added,Batman: Arkham Trilogy,79800,26330,67%,2025-09-10,2025/9/29 23:59,https://store.nintendo.co.kr/70070000018080
added,Crypto Mining Simulator - Ultimate Trading Strategy Tycoon Craft & Idle Game 3D,6990,4490,36%,2025-09-10,2025/9/23 23:59,https://store.nintendo.co.kr/70010000057186
added,소닉 포시즈,49800,9960,80%,2025-09-10,2025/9/23 23:59,https://store.nintendo.co.kr/70010000012033
added,ASSAULT GUNNERS HD EDITION,10900,4250,61%,2025-09-10,2025/9/24 23:59,https://store.nintendo.co.kr/70010000009225
added,레고® 닌자고® 무비 비디오 게임 [The LEGO® NINJAGO® Movie Videogame],48000,3360,93%,2025-09-10,2025/9/29 23:59,https://store.nintendo.co.kr/70010000050982
added,이스 IX -몬스트룸 녹스-,68800,27520,60%,2025-09-10,2025/9/24 23:59,https://store.nintendo.co.kr/70010000046867
added,GOD WARS The Complete Legend,52600,5260,90%,2025-09-10,2025/9/24 23:59,https://store.nintendo.co.kr/70010000012582
added,도쿄 재너두 eX+ for Nintendo Switch,48800,29280,40%,2025-09-10,2025/9/24 23:59,https://store.nintendo.co.kr/70010000066494
added,영웅전설 여의 궤적 for Nintendo Switch,64800,45360,30%,2025-09-10,2025/9/24 23:59,https://store.nintendo.co.kr/70010000072779
