status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,발로부르 | Balavour,4750,3320,30%,2025-09-25,2025/10/16 23:59,https://store.nintendo.co.kr/70010000098602
added,고양이들의 설날 방문,4490,2240,50%,2025-09-25,2025/10/9 23:59,https://store.nintendo.co.kr/70010000091797
added,모태솔로,19900,9950,50%,2025-09-25,2025/10/8 23:59,https://store.nintendo.co.kr/70010000068066
added,셜록 홈즈의 유언 (The Testament of Sherlock Holmes),32900,4270,87%,2025-09-25,2025/10/21 23:59,https://store.nintendo.co.kr/70010000054419
added,MazM: 페치카,15000,7500,50%,2025-09-25,2025/10/8 23:59,https://store.nintendo.co.kr/70010000075059
added,Chaos Galaxy,23000,9200,60%,2025-09-25,2025/10/16 23:59,https://store.nintendo.co.kr/70010000061326
added,림스 레이싱 (RiMS Racing),49800,7470,85%,2025-09-25,2025/10/8 23:59,https://store.nintendo.co.kr/70010000048579
added,림스 레이싱 (RiMS Racing),49800,7470,85%,2025-09-25,2025/10/8 23:59,https://store.nintendo.co.kr/70010000048579
added,Moe Waifu H Fantasy,6000,3000,50%,2025-09-25,2025/10/9 23:59,https://store.nintendo.co.kr/70010000092151
added,TRIVIAL PURSUIT Live! 2,22000,11000,50%,2025-09-25,2025/10/19 23:59,https://store.nintendo.co.kr/70010000050883
added,프린세스 메이커 -꿈꾸는 요정-,29800,11920,60%,2025-09-25,2025/10/8 23:59,https://store.nintendo.co.kr/70010000009369
added,Cave of Illusions,7560,5290,30%,2025-09-25,2025/10/16 23:59,https://store.nintendo.co.kr/70010000094741
added,돌연변이 닌자 거북이: 슈레더의 복수 (Teenage Mutant Ninja Turtles: Shredder's Revenge),29800,17880,40%,2025-09-25,2025/10/8 23:59,https://store.nintendo.co.kr/70010000052145
added,TIMORE NARHELMA,4490,3140,30%,2025-09-25,2025/10/16 23:59,https://store.nintendo.co.kr/70010000089583
added,Zombie Hunter: D-Day (좀비 헌터: 디데이),8900,3560,60%,2025-09-25,2025/10/8 23:59,https://store.nintendo.co.kr/70010000068376
added,좀비 블리츠 (Zombie Blitz),4900,4160,15%,2025-09-25,2025/10/8 23:59,https://store.nintendo.co.kr/70010000088495
added,Euro Car Parking Simulator 2025,12500,6250,50%,2025-09-25,2025/10/5 23:59,https://store.nintendo.co.kr/70010000096507
added,나의 이혼 이야기,8000,4000,50%,2025-09-25,2025/10/8 23:59,https://store.nintendo.co.kr/70010000052507
added,Z World Zombie Death War : Survival Platformer Game Left Killer Box 2023,5990,3990,33%,2025-09-25,2025/10/8 23:59,https://store.nintendo.co.kr/70010000059294
added,Ember Knights,21500,10750,50%,2025-09-25,2025/10/20 23:59,https://store.nintendo.co.kr/70010000074385
added,夏目友人帳 ～葉月の記～（나츠메 우인장 ～하즈키의 기록～）,53000,42400,20%,2025-09-25,2025/10/8 23:59,https://store.nintendo.co.kr/70010000090832
added,Immortals Fenyx Rising,47000,9000,81%,2025-09-25,2025/10/19 23:59,https://store.nintendo.co.kr/70010000034686
added,Classic Games Collection Vol.2,3000,1000,67%,2025-09-25,2025/10/21 23:59,https://store.nintendo.co.kr/70010000056921
added,원더보이 리턴즈 리믹스,15000,7500,50%,2025-09-25,2025/10/8 23:59,https://store.nintendo.co.kr/70010000018262
