status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,Buggy Race - Racing Master,15990,3990,75%,2025-10-07,2025/10/20 23:59,https://store.nintendo.co.kr/70010000076945
added,Super Dino,12990,1000,92%,2025-10-07,2025/11/2 23:59,https://store.nintendo.co.kr/70010000059427
added,Warfront Tactics: Battlefield Chronicles Battle Simulator,10990,3990,64%,2025-10-07,2025/10/20 23:59,https://store.nintendo.co.kr/70010000089243
added,"Farming Real Simulation Tractor, Combine Trucks Farmer Land Game",6500,4400,32%,2025-10-07,2025/10/20 23:59,https://store.nintendo.co.kr/70010000061235
added,Checkers for Kids,12990,1000,92%,2025-10-07,2025/11/2 23:59,https://store.nintendo.co.kr/70010000043017
added,Prison Life Simulator Jail - Gangster Escape Games Scary Architect Battle,19990,4870,76%,2025-10-07,2025/10/20 23:59,https://store.nintendo.co.kr/70010000065611
added,Car Racing Ice - Classic,15990,3990,75%,2025-10-07,2025/10/20 23:59,https://store.nintendo.co.kr/70010000076922
added,Fantasy Checkers,10000,1000,90%,2025-10-07,2025/11/2 23:59,https://store.nintendo.co.kr/70010000040994
added,Fall Gummies,9990,1000,90%,2025-10-07,2025/11/2 23:59,https://store.nintendo.co.kr/70010000043856
added,Stunt Paradise,8900,4000,55%,2025-10-07,2025/10/13 23:59,https://store.nintendo.co.kr/70010000072800
added,Stuff it!,9650,1990,79%,2025-10-07,2025/11/2 23:59,https://store.nintendo.co.kr/70010000099214
added,Rainbow Runner,25000,1000,96%,2025-10-07,2025/11/2 23:59,https://store.nintendo.co.kr/70010000061595
added,Hentai Golf,28620,2990,90%,2025-10-07,2025/11/2 23:59,https://store.nintendo.co.kr/70010000074473
added,Gallop Glory: Obstacle Racing & Horse Simulator,14000,4190,70%,2025-10-07,2025/10/20 23:59,https://store.nintendo.co.kr/70010000085415
added,Mounted Knights Battle : Medieval Warrior Honor Simulator,13990,3990,71%,2025-10-07,2025/10/20 23:59,https://store.nintendo.co.kr/70010000088724
added,Lion Simulator Survival: RPG Animal Battle,16990,4840,72%,2025-10-07,2025/10/20 23:59,https://store.nintendo.co.kr/70010000076203
added,GigaBash,32000,16000,50%,2025-10-07,2025/10/20 23:59,https://store.nintendo.co.kr/70010000065818
added,Craft Archeology Simulator: Pyramid to Polar,16990,3990,77%,2025-10-07,2025/10/20 23:59,https://store.nintendo.co.kr/70010000080113
added,Among Pipes,9990,1000,90%,2025-10-07,2025/11/2 23:59,https://store.nintendo.co.kr/70010000039552
added,Zombie Sniper Shooter - Stickman War,9990,3790,62%,2025-10-07,2025/10/20 23:59,https://store.nintendo.co.kr/70010000070333
added,The Legend of Ninja,4990,1000,80%,2025-10-07,2025/11/2 23:59,https://store.nintendo.co.kr/70010000044398
added,AnimaLudo,10000,1000,90%,2025-10-07,2025/11/2 23:59,https://store.nintendo.co.kr/70010000042288
