status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,The Love - Date Simulator with Girls,19990,4860,76%,2025-10-21,2025/11/3 23:59,https://store.nintendo.co.kr/70010000072632
added,Kemono Teatime,14500,11600,20%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000083656
added,Neon Hell,2700,1000,63%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000047633
added,Stickman: Far East Battle,4140,1000,76%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000046127
added,클럼지 러시: 얼티메이트 가이즈,9150,3990,56%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000049546
added,Galaxy Battle,5000,1000,80%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000072268
added,Samurai Warrior,2800,1000,64%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000062257
added,Pocket Soccer,3400,1000,71%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000046728
added,Battle of Archers,2730,1000,63%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000047151
added,Ramp Bike Racing,5600,1000,82%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000088233
added,3D Printer - PrintMaster Simulator,15990,3990,75%,2025-10-21,2025/11/3 23:59,https://store.nintendo.co.kr/70010000075272
added,Parking Pro: Top-Down Challenge,5790,1000,83%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000094313
added,"Farming Simulator - Farm, Tractor, Experience Logic Games Nintendo Switch™ Edition",9990,4850,51%,2025-10-21,2025/11/3 23:59,https://store.nintendo.co.kr/70010000057938
added,Astro Rangers,2600,1000,62%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000048620
added,Castle Morihisa,18000,3600,80%,2025-10-21,2025/10/31 23:59,https://store.nintendo.co.kr/70010000047325
added,Stickman Odyssey,4400,1000,77%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000091868
added,Kemono Teatime: Premium Blend for Fans,21500,17200,20%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000105336
added,Corner Driver,3590,1000,72%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000060550
added,고양이의 우주 아틀라스,25500,2990,88%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000070713
added,쥐라 섬: 낚시 여행,18360,3990,78%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000059577
added,플러피 호드,12470,3990,68%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000059384
added,무한대경 얼티밋 에디션,12990,3990,69%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000047205
added,Slay the Princess - The Pristine Cut,24080,18060,25%,2025-10-21,2025/11/3 16:59,https://store.nintendo.co.kr/70010000087482
added,작은 쥐의 백과사전,15500,2990,81%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000047066
added,Anime Beauty Girl Puzzle - Love Game History Adventure,19990,4860,76%,2025-10-21,2025/11/3 23:59,https://store.nintendo.co.kr/70010000066621
added,Jumping Quest,2600,1000,62%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000050278
added,안개탐정Tales of the Neon Sea,42000,10500,75%,2025-10-21,2025/10/31 23:59,https://store.nintendo.co.kr/70010000050042
added,LONESTAR,16500,9900,40%,2025-10-21,2025/10/31 23:59,https://store.nintendo.co.kr/70010000086726
added,포피의 모험,26290,3990,85%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000062884
added,Mighty Mouse Cheese Hunt,4390,1000,77%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000094303
added,눈먼 예언자,33430,3990,88%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000060600
added,소피아의 여행Sophia the Traveler,9900,4450,55%,2025-10-21,2025/10/31 23:59,https://store.nintendo.co.kr/70010000049724
added,Motorcycle Driving Simulator-Dirt & Parking 2022 Racing Games Ultimate 4x4 City Offroad Kart,24990,4880,80%,2025-10-21,2025/11/3 23:59,https://store.nintendo.co.kr/70010000055699
added,Radiant Silvergun,22800,9120,60%,2025-10-21,2025/10/31 23:59,https://store.nintendo.co.kr/70010000027732
added,Simple Dominoes,2820,1000,65%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000046479
added,NoEvidence - Scary Horror Quest Survival Story,9990,4890,51%,2025-10-21,2025/11/3 23:59,https://store.nintendo.co.kr/70010000058373
added,Jigsaw Puzzle Utopia,4400,1000,77%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000088228
added,DODONPACHI SAIDAIOUJOU,42800,38520,10%,2025-10-21,2025/10/31 23:59,https://store.nintendo.co.kr/70010000082203
added,Pool Puzzles,4010,1000,75%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000046486
added,THE BIKE - MOTO RIDE SIMULATOR,15990,3990,75%,2025-10-21,2025/11/3 23:59,https://store.nintendo.co.kr/70010000075217
added,껌+,10040,3990,60%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000047384
added,Pirate Treasure: Island of Mazes,2500,1000,60%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000048671
added,"Drift Horizon Racing, Driving & Parking Trial Simulator Games",32990,4990,85%,2025-10-21,2025/11/3 23:59,https://store.nintendo.co.kr/70010000056916
added,Zombie Derby: Pixel Survival,5900,2950,50%,2025-10-21,2025/10/27 23:59,https://store.nintendo.co.kr/70010000087077
added,Sky Races,4700,1000,79%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000047725
added,Animal Drifters,5400,1000,81%,2025-10-21,2025/11/16 23:59,https://store.nintendo.co.kr/70010000058869
added,LEGO® DC Super-Villains,62000,6200,90%,2025-10-21,2025/11/2 23:59,https://store.nintendo.co.kr/70010000013222
added,Klondike Solitaire - 클론다이크 솔리테어,10200,1000,90%,2025-10-21,2025/10/21 23:59,https://store.nintendo.co.kr/70010000037591
