status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,드래곤볼 더 브레이커즈,24800,3800,85%,2025-10-08,2025/11/2 23:59,https://store.nintendo.co.kr/70010000029641
added,백 년의 봄날은 가고 The Centennial Case: A Shijima Story,59800,15540,74%,2025-10-08,2025/10/22 23:59,https://store.nintendo.co.kr/70010000048047
added,(English) KINGDOM HEARTS - HD 1.5+2.5 ReMIX - Cloud Version,49800,19920,60%,2025-10-08,2025/10/22 23:59,https://store.nintendo.co.kr/70010000047394
added,드래곤 퀘스트 II 악령의 신들,7700,4620,40%,2025-10-08,2025/10/22 23:59,https://store.nintendo.co.kr/70010000023999
added,Smith & Dungeon: Crafting the Legendary Weapons,14500,13050,10%,2025-10-08,2025/10/15 23:59,https://store.nintendo.co.kr/70010000105827
added,Lovely Spot the Difference,7510,3750,50%,2025-10-08,2025/10/22 23:59,https://store.nintendo.co.kr/70010000105710
added,Mega Man Legacy Collection 2,24800,7440,70%,2025-10-08,2025/10/12 23:59,https://store.nintendo.co.kr/70010000010134
added,Shark Simulator : Ocean Predator Survival,11990,4400,63%,2025-10-08,2025/10/21 23:59,https://store.nintendo.co.kr/70010000086854
added,가면라이더 클라이맥스 스크램블,64800,17800,73%,2025-10-08,2025/10/26 23:59,https://store.nintendo.co.kr/70010000015172
added,"""METAL SLUG 1st & 2nd MISSION"" Double Pack",14900,8940,40%,2025-10-08,2025/10/22 23:59,https://store.nintendo.co.kr/70010000034005
added,두뇌 트레이닝! 빙글빙글 성 퍼즐,3900,1950,50%,2025-10-08,2025/11/3 23:59,https://store.nintendo.co.kr/70010000096637
added,Once Again,3690,2950,20%,2025-10-08,2025/10/22 23:59,https://store.nintendo.co.kr/70010000088527
added,闇の仕事人KAGE　Shadow of the Ninja　어둠의 해결사 KAGE 섀도우 오브 더 닌자　Deluxe Pack,37940,28450,25%,2025-10-08,2025/10/22 23:59,https://store.nintendo.co.kr/70010000085828
added,뮬라카(Mulaka),21800,3270,85%,2025-10-08,2025/10/8 23:59,https://store.nintendo.co.kr/70010000013864
added,배고픈 밈,42900,30030,30%,2025-10-08,2025/10/22 23:59,https://store.nintendo.co.kr/70010000092997
