status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,Puzzle World: Cute Cats,6900,3450,50%,2025-08-29,2025/8/30 23:59,https://store.nintendo.co.kr/70010000082003
added,Find the Cats: Japan Journey,8340,5000,40%,2025-08-29,2025/9/11 23:59,https://store.nintendo.co.kr/70010000102469
added,Shotgun Cop Man,11000,8250,25%,2025-08-29,2025/9/11 23:59,https://store.nintendo.co.kr/70010000089700
added,Neva,21500,15050,30%,2025-08-29,2025/9/11 23:59,https://store.nintendo.co.kr/70010000067705
added,The Cosmic Wheel Sisterhood,19500,9750,50%,2025-08-29,2025/9/11 23:59,https://store.nintendo.co.kr/70010000064686
added,Cult of the Lamb,25000,12500,50%,2025-08-29,2025/9/11 23:59,https://store.nintendo.co.kr/70010000047970
added,Mystery Lover,7000,4900,30%,2025-08-29,2025/9/12 23:59,https://store.nintendo.co.kr/70010000068593
added,Stories Untold,11000,2200,80%,2025-08-29,2025/9/11 23:59,https://store.nintendo.co.kr/70010000046505
added,Fight of Animals,11100,7770,30%,2025-08-29,2025/9/11 23:59,https://store.nintendo.co.kr/70010000036765
added,가면라이더 메모리 오브 히어로즈,64800,9800,85%,2025-08-29,2025/9/23 23:59,https://store.nintendo.co.kr/70010000021858
added,Dungeon and Puzzles,10000,2000,80%,2025-08-29,2025/9/11 23:59,https://store.nintendo.co.kr/70010000036622
added,Inscryption,22000,8800,60%,2025-08-29,2025/9/11 23:59,https://store.nintendo.co.kr/70010000051031
added,Make it! Pancakes,7000,5000,29%,2025-08-29,2025/9/10 23:59,https://store.nintendo.co.kr/70010000100743
added,Return to Monkey Island,25000,10000,60%,2025-08-29,2025/9/11 23:59,https://store.nintendo.co.kr/70010000059803
added,Only Way Up! Parkour Jump Simulator,6990,2790,60%,2025-08-29,2025/9/11 23:59,https://store.nintendo.co.kr/70010000073156
added,"All Noobs must die! Craft, Survival, Mine",17990,2790,84%,2025-08-29,2025/9/11 23:59,https://store.nintendo.co.kr/70010000079057
added,Pepper Grinder,16500,7260,56%,2025-08-29,2025/9/11 23:59,https://store.nintendo.co.kr/70010000056824
added,Dragons Legacy : Monsters Lair,11990,2990,75%,2025-08-29,2025/9/11 23:59,https://store.nintendo.co.kr/70010000091891
added,Minit Fun Racer,3400,2270,33%,2025-08-29,2025/9/11 23:59,https://store.nintendo.co.kr/70010000061450
added,The Night of the Rabbit,21000,7350,65%,2025-08-29,2025/9/2 23:59,https://store.nintendo.co.kr/70010000044807
added,Dark Deity II,26700,21360,20%,2025-08-29,2025/9/3 23:59,https://store.nintendo.co.kr/70010000098875
added,Skyline Bowling - 스카이볼링,7150,2850,60%,2025-08-29,2025/9/5 23:59,https://store.nintendo.co.kr/70010000103241
added,Card Shark,22000,5500,75%,2025-08-29,2025/9/11 23:59,https://store.nintendo.co.kr/70010000053644
added,바텐 카이토스 Ⅰ＆Ⅱ HD Remaster,59800,17800,70%,2025-08-29,2025/9/23 23:59,https://store.nintendo.co.kr/70010000055736
added,두뇌 운동! 해파리 퍼즐,3900,2900,26%,2025-08-29,2025/9/3 23:59,https://store.nintendo.co.kr/70010000104069
