status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,두뇌 트레이닝!! 히라가나＆카타카나  찾기,3900,1950,50%,2025-10-27,2025/10/27 23:59,https://store.nintendo.co.kr/70010000086112
added,Virgo Versus The Zodiac,23150,11570,50%,2025-10-27,2025/11/17 23:59,https://store.nintendo.co.kr/70010000067797
added,Mine Clicker - Base Craft Building Game,9990,3990,60%,2025-10-27,2025/11/9 23:59,https://store.nintendo.co.kr/70010000092603
added,Geometric Sniper - Blood in Paris,3800,1000,74%,2025-10-27,2025/11/16 23:59,https://store.nintendo.co.kr/70010000053552
added,눈과 두뇌를 단련하는 입체 시력 트레이닝,3900,1950,50%,2025-10-27,2025/11/22 23:59,https://store.nintendo.co.kr/70010000102316
added,Mini Wheels Racers - Turbo Toy Playground,10990,4190,62%,2025-10-27,2025/11/9 23:59,https://store.nintendo.co.kr/70010000100353
added,D.C.K.: Dock Chess King,6990,4190,40%,2025-10-27,2025/11/2 23:59,https://store.nintendo.co.kr/70010000080957
added,우키요에의 실수 찾기 후지산 36경,3900,1950,50%,2025-10-27,2025/10/27 23:59,https://store.nintendo.co.kr/70010000086444
added,Hidden Cats in Santa's Realm,5500,2750,50%,2025-10-27,2025/11/16 23:59,https://store.nintendo.co.kr/70010000088209
added,Hentai Paradise Vol. 2,7990,3990,50%,2025-10-27,2025/10/27 23:59,https://store.nintendo.co.kr/70010000085410
added,우마무스메 프리티 더비 열혈 우당탕탕 대감사제!,39800,11940,70%,2025-10-27,2025/11/5 23:59,https://store.nintendo.co.kr/70010000071498
added,Project Drift Japan Challenge,9990,3990,60%,2025-10-27,2025/11/9 23:59,https://store.nintendo.co.kr/70010000080932
added,선택지로 스터디 히라가나,3900,1950,50%,2025-10-27,2025/11/22 23:59,https://store.nintendo.co.kr/70010000084420
added,두뇌 운동! 해파리 퍼즐,3900,1950,50%,2025-10-27,2025/11/22 23:59,https://store.nintendo.co.kr/70010000104069
added,회전 퍼즐 한 번에 배우는 3개 국어,3900,1950,50%,2025-10-27,2025/11/22 23:59,https://store.nintendo.co.kr/70010000084929
added,Hentai Girls: Obon Love,9000,1990,78%,2025-10-27,2025/11/1 23:59,https://store.nintendo.co.kr/70010000081240
added,Hidden Cats in Berlin,5500,2000,64%,2025-10-27,2025/11/16 23:59,https://store.nintendo.co.kr/70010000081778
added,Arcade Tanks World: 탱크 전투 시뮬레이터,6600,4620,30%,2025-10-27,2025/11/9 23:59,https://store.nintendo.co.kr/70010000080661
added,Hentai Girls: Lovely Lieutenant,9000,1990,78%,2025-10-27,2025/11/1 23:59,https://store.nintendo.co.kr/70010000081586
added,작은 보물 찾기,3900,1950,50%,2025-10-27,2025/11/22 23:59,https://store.nintendo.co.kr/70010000079832
added,Pixel Boy 2 - The Castle Revenge,7990,4790,40%,2025-10-27,2025/11/10 23:59,https://store.nintendo.co.kr/70010000062623
added,Culinary Cooking Master Simulator,17690,4840,73%,2025-10-27,2025/11/9 23:59,https://store.nintendo.co.kr/70010000080303
added,Crazy Gravity,5000,1000,80%,2025-10-27,2025/11/6 23:59,https://store.nintendo.co.kr/70010000043717
added,Medieval Fantasy: Jigsaw Puzzle,7990,2390,70%,2025-10-27,2025/10/27 23:59,https://store.nintendo.co.kr/70010000085235
added,Crowded Mysteries,4900,1000,80%,2025-10-27,2025/11/16 23:59,https://store.nintendo.co.kr/70010000068967
added,Anime Girls: Beautiful Bride,9000,1990,78%,2025-10-27,2025/11/1 23:59,https://store.nintendo.co.kr/70010000084123
