status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,두뇌 트레이닝! 한자를 어떻게 쓰나요?,3900,2900,26%,2025-10-24,2025/10/29 23:59,https://store.nintendo.co.kr/70010000106707
added,레전드 오브 쉐도우 마스크 오브 더 포스(The Legend of Shadow: Mask of the Force),19000,5700,70%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000071978
added,Meow Moments: Celebrating Beats and Books (야옹 순간: 비트와 책을 함께 축하해요),3900,3120,20%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000104847
added,Skyline Bowling - 스카이볼링,7150,2850,60%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000103241
added,월드워 디데이 PART ONE(World War: D-Day PART ONE),19000,13300,30%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000073966
added,크라임버스터즈 스트라이크 에리어(Crime Busters: Strike Area),19000,9500,50%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000065465
added,Lyca,5600,5040,10%,2025-10-24,2025/11/18 23:59,https://store.nintendo.co.kr/70010000103365
added,REDEX,6000,4800,20%,2025-10-24,2025/11/12 23:59,https://store.nintendo.co.kr/70010000105023
added,월드워 벌지 대전투(World War: Battle of the Bulge),19000,13300,30%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000080810
added,Replik Survivors,5600,2800,50%,2025-10-24,2025/11/13 23:59,https://store.nintendo.co.kr/70010000078926
added,Lucky Hunter,6700,5960,11%,2025-10-24,2025/10/29 23:59,https://store.nintendo.co.kr/70010000092546
added,Car Wash Tycoon Business Simulator,11990,4780,60%,2025-10-24,2025/11/6 23:59,https://store.nintendo.co.kr/70010000090321
added,Floating Farmer,3400,2380,30%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000049335
added,데몽 헌터(Demong Hunter),9700,2910,70%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000042353
added,Gruniożerca Trilogy,11500,10350,10%,2025-10-24,2025/10/31 23:59,https://store.nintendo.co.kr/70010000100140
added,내 전골에 뭐 넣었어?!,5600,3920,30%,2025-10-24,2025/11/13 23:59,https://store.nintendo.co.kr/70010000073303
added,어드벤쳐 워드 어라운드 더 월드(Adventure Word: Around the World),19000,5700,70%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000071643
added,제로아워 킬존(Zero Hour: Kill Zone),29000,17400,40%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000087021
added,Beat 'Em Up Collection (QUByte Classics),26350,19760,25%,2025-10-24,2025/11/13 23:59,https://store.nintendo.co.kr/70010000093523
added,Platform 9 - NO WAY OUT,8990,4480,50%,2025-10-24,2025/11/6 23:59,https://store.nintendo.co.kr/70010000086642
added,수수께끼의 방,8900,4450,50%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000075231
added,초간단 두뇌트레이닝 선긋기 뇌섹QUIZ,8900,4450,50%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000075234
added,카운터리콘 더 퍼스트 미션(Counter Recon: The First Mission),19000,9500,50%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000038468
added,라스트 4 서바이브 아웃브레이크(Last 4 Survive: The Outbreak),19000,9500,50%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000077194
added,Make it! Yakiimo,7000,5000,29%,2025-10-24,2025/10/29 23:59,https://store.nintendo.co.kr/70010000104477
added,Animals Transport Simulator - Car Driving & Parking Games Real Zoo Park,6990,4880,30%,2025-10-24,2025/11/6 23:59,https://store.nintendo.co.kr/70010000057303
added,월드워 컴뱃가디언(World War: Combat Guardian),19000,13300,30%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000067867
added,모던워 탱크 배틀(Modern War: Tank Battle),19000,13300,30%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000057217
added,미스터 엘리베이터 (MR.ELEVATOR),20990,18890,10%,2025-10-24,2025/11/16 23:59,https://store.nintendo.co.kr/70010000085431
added,마계 추락 라즈리엘,15000,7500,50%,2025-10-24,2025/11/13 23:59,https://store.nintendo.co.kr/70010000076905
added,걸즈 탱크 배틀(Girls Tank Battle),14000,1000,93%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000043303
added,Merge Match March,19500,17550,10%,2025-10-24,2025/11/5 23:59,https://store.nintendo.co.kr/70010000103683
added,헌티드던 더 좀비 아포칼립스(Haunted Dawn: The Zombie Apocalypse),19000,9500,50%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000040962
added,Dolmenjord - Viking Islands (돌멘요르트 - 바이킹 아일랜드),5000,3500,30%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000074099
added,월드워 디데이 PART TWO(World War: D-Day PART TWO),19000,13300,30%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000074975
added,카+툰레이스 랠리밸리 챔피언(Car+Toon Race: Rally Valley Champion),14000,7000,50%,2025-10-24,2025/11/19 23:59,https://store.nintendo.co.kr/70010000059245
added,Unfair Rampage: Knightfall,13990,4990,64%,2025-10-24,2025/11/18 23:59,https://store.nintendo.co.kr/70010000100773
