status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,우주 고양이 퍼즐,8350,1990,76%,2025-09-30,2025/10/26 23:59,https://store.nintendo.co.kr/70010000098676
added,Jetboard Joust,11000,2750,75%,2025-09-30,2025/9/30 23:59,https://store.nintendo.co.kr/70010000036062
added,METAL DOGS,27150,13570,50%,2025-09-30,2025/10/7 23:59,https://store.nintendo.co.kr/70010000064928
added,Arco,21500,15000,30%,2025-09-30,2025/10/26 23:59,https://store.nintendo.co.kr/70010000064955
added,우쭈쭈 마이펫 - 골프 대시,27090,1990,93%,2025-09-30,2025/10/26 23:59,https://store.nintendo.co.kr/70010000071313
added,Muse Dash,34000,23800,30%,2025-09-30,2025/10/6 00:59,https://store.nintendo.co.kr/70010000014535
added,썸썸 편의점,22800,11400,50%,2025-09-30,2025/10/8 23:59,https://store.nintendo.co.kr/70010000073131
added,Layer Section™ & Galactic Attack™ S-Tribute,29660,11860,60%,2025-09-30,2025/10/6 23:59,https://store.nintendo.co.kr/70010000043909
added,Herdling,26900,21500,20%,2025-09-30,2025/10/26 23:59,https://store.nintendo.co.kr/70010000083929
added,"잊지마, 어른이 되어도.",18000,9000,50%,2025-09-30,2025/10/7 23:59,https://store.nintendo.co.kr/70010000045371
added,Om Nom: Run 2,7150,2860,60%,2025-09-30,2025/10/26 23:59,https://store.nintendo.co.kr/70010000094587
added,Nour: Play With Your Food,10000,6000,40%,2025-09-30,2025/10/26 23:59,https://store.nintendo.co.kr/70010000083497
added,Record of Lodoss War -Deedlit in Wonder Labyrinth- (로도스도 전기 - 디드리트 인 원더 라비린스 ),26000,11700,55%,2025-09-30,2025/10/7 23:59,https://store.nintendo.co.kr/70010000046026
added,Cleopatra Fortune™ S-Tribute,19400,10670,45%,2025-09-30,2025/10/6 23:59,https://store.nintendo.co.kr/70010000044734
added,마계전기DISGAEA６,54800,27400,50%,2025-09-30,2025/10/8 23:59,https://store.nintendo.co.kr/70010000037289
added,Succubus Sexy Devils,9990,3990,60%,2025-09-30,2025/10/13 23:59,https://store.nintendo.co.kr/70010000100798
added,Thank Goodness You're Here!,21500,15000,30%,2025-09-30,2025/10/26 23:59,https://store.nintendo.co.kr/70010000072668
added,Puzzle Bobble™2X/BUST-A-MOVE™2 Arcade Edition & Puzzle Bobble™3/BUST-A-MOVE™3 S-Tribute,19400,10670,45%,2025-09-30,2025/10/6 23:59,https://store.nintendo.co.kr/70010000044729
added,SCHEDULE I - MAFIA EMPIRE,17990,4290,76%,2025-09-30,2025/10/4 23:59,https://store.nintendo.co.kr/70010000098163
added,Figment 2: Creed Valley,25590,1980,92%,2025-09-30,2025/10/26 23:59,https://store.nintendo.co.kr/70010000046996
added,포트 로얄 4 (Port Royale 4),49800,14940,70%,2025-09-30,2025/10/8 23:59,https://store.nintendo.co.kr/70010000037402
added,Helicopter Simulator : RESCUE SIM,17990,3990,78%,2025-09-30,2025/10/13 23:59,https://store.nintendo.co.kr/70010000076699
added,Seedsow Lullaby,21500,15050,30%,2025-09-30,2025/10/21 23:59,https://store.nintendo.co.kr/70010000093661
added,이소로무스,1790,1000,44%,2025-09-30,2025/10/6 23:59,https://store.nintendo.co.kr/70010000038972
