status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,My Little Fruit Juice Booth,3790,1000,74%,2025-08-23,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047352
added,패밀리체스,24730,1990,92%,2025-08-23,2025/9/18 23:59,https://store.nintendo.co.kr/70010000047379
added,My Little Fast Food Booth,3790,1000,74%,2025-08-23,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047524
added,Defend the Kingdom,4990,1000,80%,2025-08-23,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047438
added,My Little Ramenbar,4990,1000,80%,2025-08-23,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047625
added,뇌 기억,6220,1990,68%,2025-08-23,2025/9/18 23:59,https://store.nintendo.co.kr/70010000059314
added,마녀의 샘R,49800,32370,35%,2025-08-23,2025/9/8 02:59,https://store.nintendo.co.kr/70010000080740
added,EvoMonsters,13860,1990,86%,2025-08-23,2025/9/18 23:59,https://store.nintendo.co.kr/70010000083467
added,Red Ball Escape,3790,1000,74%,2025-08-23,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047334
added,Dragon Ruins,11400,10260,10%,2025-08-23,2025/9/4 23:59,https://store.nintendo.co.kr/70010000102066
added,쿡 포 러브,18000,1990,89%,2025-08-23,2025/9/18 23:59,https://store.nintendo.co.kr/70010000084684
added,헨타이 메모리,26620,1990,93%,2025-08-23,2025/9/18 23:59,https://store.nintendo.co.kr/70010000074644
added,Eat your letters,3990,1000,75%,2025-08-23,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047576
added,Mahjong Masters,4490,1000,78%,2025-08-23,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047738
added,My Little Ice Cream Booth,3590,1000,72%,2025-08-23,2025/9/10 23:59,https://store.nintendo.co.kr/70010000039567
added,Blocky Puzzle,3790,1000,74%,2025-08-23,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047739
added,Werewolf Hunter - Survive The Howl,17990,2790,84%,2025-08-23,2025/9/5 23:59,https://store.nintendo.co.kr/70010000097036
added,BIOHAZARD REVELATIONS 2,23800,9500,60%,2025-08-23,2025/8/24 23:59,https://store.nintendo.co.kr/70010000049893
added,Pipe Fitter,3990,1000,75%,2025-08-23,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047745
added,Imagine Earth,27000,10800,60%,2025-08-23,2025/9/5 23:59,https://store.nintendo.co.kr/70010000063759
added,Find 10 Differences,3990,1000,75%,2025-08-23,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047624
added,Puzzle Box 3 in 1,3790,1000,74%,2025-08-23,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047406
added,Ball Physics Draw Puzzles,3790,1000,74%,2025-08-23,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047752
added,롤링 카,9740,1990,80%,2025-08-23,2025/9/18 23:59,https://store.nintendo.co.kr/70010000051237
added,Color Dots Connect,3790,1000,74%,2025-08-23,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047630
added,n골프,28560,1990,93%,2025-08-23,2025/9/18 23:59,https://store.nintendo.co.kr/70010000074468
added,Solitaire Card Games,3990,1000,75%,2025-08-23,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047573
added,Pix Jungle Adventures,3790,1000,74%,2025-08-23,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047432
added,Mini Car Racing 2,4990,1000,80%,2025-08-23,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047744
added,Quest Hunter,42900,6430,85%,2025-08-23,2025/9/18 23:59,https://store.nintendo.co.kr/70010000019461
added,Bring Home Honey,3790,1000,74%,2025-08-23,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047735
added,Marbles Rush,3990,1000,75%,2025-08-23,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047707
