status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,Ninja Ming,11000,9350,15%,2025-09-26,2025/10/2 23:59,https://store.nintendo.co.kr/70010000093430
added,Relayer Advanced Definitive Edition,37500,31870,15%,2025-09-26,2025/10/15 23:59,https://store.nintendo.co.kr/70010000099004
added,번뜩！추리게임,8900,4450,50%,2025-09-26,2025/10/22 23:59,https://store.nintendo.co.kr/70010000069556
added,Starlink: Battle for Atlas™ - 디럭스 에디션,44000,11000,75%,2025-09-26,2025/10/19 23:59,https://store.nintendo.co.kr/70070000004982
added,얼라이언스 얼라이브 HD Remastered,58000,11600,80%,2025-09-26,2025/10/8 23:59,https://store.nintendo.co.kr/70010000019372
added,섬란 카구라 PEACH BALL,69800,20940,70%,2025-09-26,2025/10/7 23:59,https://store.nintendo.co.kr/70070000006141
added,Doku Girls 3,26990,5390,80%,2025-09-26,2025/10/23 23:59,https://store.nintendo.co.kr/70010000106206
added,Funko Fusion,44800,22400,50%,2025-09-26,2025/10/2 23:59,https://store.nintendo.co.kr/70010000078765
added,네코 라멘,8350,1990,76%,2025-09-26,2025/10/21 23:59,https://store.nintendo.co.kr/70010000104042
added,구해주세요! 사신 짱 드롭킥（Rescue！DROPKICK ON MY DEVIL!!）,8900,4450,50%,2025-09-26,2025/10/22 23:59,https://store.nintendo.co.kr/70010000074745
added,용사 넵튠 세계여 우주여 주목하라!! 얼티밋 RPG 선언!!,49800,24900,50%,2025-09-26,2025/10/8 23:59,https://store.nintendo.co.kr/70010000012345
added,MELTY BLOOD: TYPE LUMINA,54800,16440,70%,2025-09-26,2025/10/9 23:59,https://store.nintendo.co.kr/70010000043442
added,전국 일반상식 체크,8900,4450,50%,2025-09-26,2025/10/22 23:59,https://store.nintendo.co.kr/70010000073448
added,그랑브릭슈터(Grand Brix Shooter),9900,1980,80%,2025-09-26,2025/10/8 23:59,https://store.nintendo.co.kr/70010000021562
added,무야호 럽코 해프닝,8900,4450,50%,2025-09-26,2025/10/22 23:59,https://store.nintendo.co.kr/70010000071690
added,Dragon's Dogma: Dark Arisen,34800,5560,84%,2025-09-26,2025/10/12 23:59,https://store.nintendo.co.kr/70010000018691
added,Dragon's Dogma: Dark Arisen,34800,5560,84%,2025-09-26,2025/10/12 23:59,https://store.nintendo.co.kr/70010000018691
added,마키나이츠 -블러드 바고스-,3000,2100,30%,2025-09-26,2025/10/8 23:59,https://store.nintendo.co.kr/70010000019367
added,레미로어 ~소녀와 이세계와 마도서~,41250,30900,25%,2025-09-26,2025/10/8 23:59,https://store.nintendo.co.kr/70010000013601
added,Fashion Girls,6500,1000,85%,2025-09-26,2025/10/2 23:59,https://store.nintendo.co.kr/70010000055336
added,탐정 진구지 사부로 프리퀄 스토리 다이달로스 : 디 어웨이크닝 오브 골든 재즈,58000,6960,88%,2025-09-26,2025/10/8 23:59,https://store.nintendo.co.kr/70010000016610
added,탐정 진구지 사부로 프리퀄 스토리 다이달로스 : 디 어웨이크닝 오브 골든 재즈,58000,6960,88%,2025-09-26,2025/10/8 23:59,https://store.nintendo.co.kr/70010000016610
added,Attack Strategy - Battle Simulator Accurate,12990,3990,69%,2025-09-26,2025/10/9 23:59,https://store.nintendo.co.kr/70010000066927
added,FINAL FANTASY XII THE ZODIAC AGE,54400,21760,60%,2025-09-26,2025/10/8 23:59,https://store.nintendo.co.kr/70010000016505
added,Heroes of Mount Dragon,21500,17200,20%,2025-09-26,2025/11/23 23:59,https://store.nintendo.co.kr/70010000103991
added,라피스 리 어비스,59800,29900,50%,2025-09-26,2025/10/8 23:59,https://store.nintendo.co.kr/70010000013422
added,그리는 심리테스트,8900,4450,50%,2025-09-26,2025/10/22 23:59,https://store.nintendo.co.kr/70010000073442
added,Simple Number-Based Color Sense IQ Test,8900,4450,50%,2025-09-26,2025/10/22 23:59,https://store.nintendo.co.kr/70010000076741
added,Only Go Up 2,6900,5520,20%,2025-09-26,2025/10/9 23:59,https://store.nintendo.co.kr/70010000105064
added,BRAINROT: FIGHTING,13760,2750,80%,2025-09-26,2025/10/11 23:59,https://store.nintendo.co.kr/70010000101797
added,빠른 푸시! 3 힌트 퀴즈,8900,4450,50%,2025-09-26,2025/10/22 23:59,https://store.nintendo.co.kr/70010000074328
added,Water Blast Shooter - Wet Gun,10990,3990,64%,2025-09-26,2025/10/9 23:59,https://store.nintendo.co.kr/70010000086245
added,no brake no gain,5600,4760,15%,2025-09-26,2025/10/1 23:59,https://store.nintendo.co.kr/70010000104009
added,마모루 군은 저주받아버렸다! ReCurse,34800,31320,10%,2025-09-26,2025/10/8 23:59,https://store.nintendo.co.kr/70010000092864
added,Snapshot Girls 3,26990,5390,80%,2025-09-26,2025/10/23 23:59,https://store.nintendo.co.kr/70010000106120
added,Fashion Princess 패션 프린세스,13000,1000,92%,2025-09-26,2025/10/2 23:59,https://store.nintendo.co.kr/70010000056545
added,서바이브! 미스터 큐브,14800,2960,80%,2025-09-26,2025/10/8 23:59,https://store.nintendo.co.kr/70010000010625
