status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,Cooking Arena,3000,2000,33%,2025-08-28,2025/9/23 23:59,https://store.nintendo.co.kr/70010000068195
added,Ratyrinth,5000,2000,60%,2025-08-28,2025/9/11 23:59,https://store.nintendo.co.kr/70010000078098
added,Under the Warehouse,6000,1980,67%,2025-08-28,2025/9/11 23:59,https://store.nintendo.co.kr/70010000060692
added,Saga of the Moon Priestess,7000,2800,60%,2025-08-28,2025/9/11 23:59,https://store.nintendo.co.kr/70010000069279
added,Virtual Girlfriend Dating Simulator,13990,2790,80%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000077248
added,The Witcher 3: Wild Hunt — Complete Edition,64800,16200,75%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000020989
added,소피아의 여행Sophia the Traveler,9900,4950,50%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000049724
added,소피아의 여행Sophia the Traveler,9900,4950,50%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000049724
added,Ralph and the Blue Ball (랄프와 파란색 공),2700,1620,40%,2025-08-28,2025/9/23 23:59,https://store.nintendo.co.kr/70010000074102
added,Trifox,22500,4500,80%,2025-08-28,2025/9/11 23:59,https://store.nintendo.co.kr/70010000059331
added,Vampire Hunters,16500,10720,35%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000086206
added,프린세스 메이커 2 리제네레이션（Princess Maker 2 Regeneration）,38900,19450,50%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000067840
added,Rabbids 서유기: 광란의 파티,45500,9000,80%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000039786
added,SUPER SHAKING GIRL!!!,5600,3360,40%,2025-08-28,2025/9/17 23:59,https://store.nintendo.co.kr/70010000083996
added,KINGDOM HEARTS Melody of Memory,64800,25920,60%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000032354
added,ASSASSIN’S CREED® THE EZIO COLLECTION,55000,13500,75%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000038688
added,Ninja Shuriken Master,7990,2690,66%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000078940
added,Iron Meat,21500,17200,20%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000082042
added,초라해,14170,1990,86%,2025-08-28,2025/9/23 23:59,https://store.nintendo.co.kr/70010000050136
added,Moe Waifu H,6000,1800,70%,2025-08-28,2025/9/11 23:59,https://store.nintendo.co.kr/70010000062290
added,Savant - Ascent REMIX,7500,3750,50%,2025-08-28,2025/9/17 23:59,https://store.nintendo.co.kr/70010000069948
added,Counter Shooter Strike Zone,14990,2490,83%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000070311
added,The Witcher 3: Wild Hunt,34990,8740,75%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000033069
added,몬무스 글래디에이터 (Monmusu Gladiator),8510,3400,60%,2025-08-28,2025/9/17 23:59,https://store.nintendo.co.kr/70010000056728
added,Castle Morihisa,18000,3600,80%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047325
added,Voice of Cards: The Isle Dragon Roars,34800,13920,60%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000039980
added,사이버펑크 2077: 얼티밋 에디션,89900,80900,10%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000095549
added,Wings of Bluestar,18000,4500,75%,2025-08-28,2025/9/11 23:59,https://store.nintendo.co.kr/70010000032405
added,SOUTH PARK: SNOW DAY!,34800,27840,20%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000080072
added,No Man's Sky,64800,25920,60%,2025-08-28,2025/9/8 23:59,https://store.nintendo.co.kr/70010000044639
added,패밀리 레스토랑을 향유하라,13000,10400,20%,2025-08-28,2025/9/17 23:59,https://store.nintendo.co.kr/70010000070957
added,Wonder Boy Anniversary Collection,54800,27400,50%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000050789
added,Bot Gaiden,18000,4500,75%,2025-08-28,2025/9/11 23:59,https://store.nintendo.co.kr/70010000052993
added,Cooking Tycoons 2: 3 in 1 번들,6000,2000,67%,2025-08-28,2025/9/23 23:59,https://store.nintendo.co.kr/70010000058511
added,덤피 & 범피,5600,4480,20%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000047673
added,셜록 홈즈: 베스커빌 가문 이야기,18900,2830,85%,2025-08-28,2025/9/9 23:59,https://store.nintendo.co.kr/70010000054414
added,Apocalypse Market Simulator,12000,1800,85%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000097075
added,Robolt,5000,1000,80%,2025-08-28,2025/9/11 23:59,https://store.nintendo.co.kr/70010000053892
added,Seedsow Lullaby,21500,15050,30%,2025-08-28,2025/8/31 23:59,https://store.nintendo.co.kr/70010000093661
added,Voice of Cards: The Forsaken Maiden,34800,13920,60%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000045138
added,Voice of Cards: The Beasts of Burden,34800,13920,60%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000045091
added,무장하고 맛있는 암모 돼지,11140,1990,82%,2025-08-28,2025/9/23 23:59,https://store.nintendo.co.kr/70010000057283
added,퍼즐 배틀러! 미라이 (Puzzle Battler! Mirai),10650,4260,60%,2025-08-28,2025/9/17 23:59,https://store.nintendo.co.kr/70010000056733
added,DETECTIVE - Stella Porta Case,12000,3600,70%,2025-08-28,2025/9/11 23:59,https://store.nintendo.co.kr/70010000076234
added,Arietta of Spirits,20000,3000,85%,2025-08-28,2025/9/11 23:59,https://store.nintendo.co.kr/70010000053708
added,DUNGEON ENCOUNTERS,34800,13920,60%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000036760
added,Trials Rising Standard Edition,22000,4400,80%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000015870
added,SCREAM AND STEEL - Horror Story Shooter,18000,2590,86%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000075688
added,TORINTO,5000,1500,70%,2025-08-28,2025/9/11 23:59,https://store.nintendo.co.kr/70010000051334
added,Floating Farmer,3400,2380,30%,2025-08-28,2025/9/23 23:59,https://store.nintendo.co.kr/70010000049335
added,"Jump, Dodge, Die, Repeat",5990,2990,50%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000082500
added,Everybody's Home Run Rush,4700,3290,30%,2025-08-28,2025/9/23 23:59,https://store.nintendo.co.kr/70010000058553
added,No Man's Sky Nintendo Switch 2 Edition,64800,25920,60%,2025-08-28,2025/9/8 23:59,https://store.nintendo.co.kr/70010000099218
added,Swapshot,5000,1750,65%,2025-08-28,2025/9/11 23:59,https://store.nintendo.co.kr/70010000070182
added,라스트 캠프파이어,16000,1600,90%,2025-08-28,2025/9/8 23:59,https://store.nintendo.co.kr/70010000028623
added,Xuan Yuan Sword 7,49800,24900,50%,2025-08-28,2025/9/11 23:59,https://store.nintendo.co.kr/70010000068163
added,스도쿠 클래식2,6700,4690,30%,2025-08-28,2025/9/23 23:59,https://store.nintendo.co.kr/70010000087608
added,Prison City,11000,8800,20%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000068579
added,브로큰 유니버스 아티팩트의 전설,14180,1990,86%,2025-08-28,2025/9/23 23:59,https://store.nintendo.co.kr/70010000058232
added,Replik Survivors,5600,2800,50%,2025-08-28,2025/9/17 23:59,https://store.nintendo.co.kr/70010000078926
added,Kanjozoku 2 - Drift Car Games,15990,2990,81%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000078989
added,Assassin’s Creed®: The Rebel Collection,49500,12300,75%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000019187
added,Child Of Light,22000,4400,80%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000013586
added,Lily in Puzzle World,5000,1750,65%,2025-08-28,2025/9/11 23:59,https://store.nintendo.co.kr/70010000071381
added,LootLite,5000,2000,60%,2025-08-28,2025/9/11 23:59,https://store.nintendo.co.kr/70010000056173
added,다함께 쿠키요미2 ～레이와～,5250,2620,50%,2025-08-28,2025/9/23 23:59,https://store.nintendo.co.kr/70010000031984
added,Endless Monday: Dreams and Deadlines,11000,8800,20%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000095901
added,Violet Wisteria,15000,4500,70%,2025-08-28,2025/9/11 23:59,https://store.nintendo.co.kr/70010000074639
