status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,Dolmenjord - Viking Islands (돌멘요르트 - 바이킹 아일랜드),5000,3500,30%,2025-09-02,2025/9/23 23:59,https://store.nintendo.co.kr/70010000074099
added,Retro Game Pack,6490,1000,85%,2025-09-02,2025/9/28 23:59,https://store.nintendo.co.kr/70010000046872
added,Car Heist Simulator - Thief Mechanic,10990,3990,64%,2025-09-02,2025/9/15 23:59,https://store.nintendo.co.kr/70010000087473
added,메카닉 8230: 일그로트 탈출,20090,1990,90%,2025-09-02,2025/9/28 23:59,https://store.nintendo.co.kr/70010000061862
added,OnlyUP!,9640,4820,50%,2025-09-02,2025/9/3 23:59,https://store.nintendo.co.kr/70010000074085
added,siMarket Cloth Store Simulator : 클로스 스토어 시뮬레이터,12990,4990,62%,2025-09-02,2025/9/16 23:59,https://store.nintendo.co.kr/70010000096098
added,Mom Simulator 2023,17600,2990,83%,2025-09-02,2025/9/6 23:59,https://store.nintendo.co.kr/70010000073919
added,Construction Machine Simulator 2023 : Hard Truck Work Job,16990,3990,77%,2025-09-02,2025/9/15 23:59,https://store.nintendo.co.kr/70010000071558
added,정원의 작은 친구,19910,1990,90%,2025-09-02,2025/9/4 23:59,https://store.nintendo.co.kr/70010000070809
added,Moorhuhn Wanted,9400,4700,50%,2025-09-02,2025/9/28 23:59,https://store.nintendo.co.kr/70010000043062
added,어드벤쳐 워드 어라운드 더 월드(Adventure Word: Around the World),19000,5700,70%,2025-09-02,2025/9/19 23:59,https://store.nintendo.co.kr/70010000071643
added,"Furniture Flipper Simulator 2023: Revive, Restoration & Creative Crafting",17990,2990,83%,2025-09-02,2025/9/6 23:59,https://store.nintendo.co.kr/70010000073912
added,Spring Bunny Islands : 봄토끼섬,3900,1450,63%,2025-09-02,2025/9/16 23:59,https://store.nintendo.co.kr/70010000079356
added,Moorhuhn X,9400,4700,50%,2025-09-02,2025/9/28 23:59,https://store.nintendo.co.kr/70010000057367
added,피아노: 배우기 & 연주하기,24680,1000,96%,2025-09-02,2025/9/28 23:59,https://store.nintendo.co.kr/70010000063033
added,Another World Mahjong Girl,15000,6000,60%,2025-09-02,2025/9/11 23:59,https://store.nintendo.co.kr/70010000069365
added,Pixel Cafe,17650,1000,94%,2025-09-02,2025/9/9 23:59,https://store.nintendo.co.kr/70010000070020
added,Highway Moto Racing Rush 2023 Simulator,17560,2690,85%,2025-09-02,2025/9/8 23:59,https://store.nintendo.co.kr/70010000069036
added,Snap Together,10820,2160,80%,2025-09-02,2025/9/27 23:59,https://store.nintendo.co.kr/70010000073419
added,Hentai Party,29860,1990,93%,2025-09-02,2025/9/16 23:59,https://store.nintendo.co.kr/70010000073682
added,Airport,6500,1000,85%,2025-09-02,2025/9/28 23:59,https://store.nintendo.co.kr/70010000071574
added,Lily in Puzzle World,5000,1750,65%,2025-09-02,2025/9/11 23:59,https://store.nintendo.co.kr/70010000071381
added,Overlanders,6150,1000,84%,2025-09-02,2025/9/28 23:59,https://store.nintendo.co.kr/70010000021524
added,내 전골에 뭐 넣었어?!,5600,3920,30%,2025-09-02,2025/9/17 23:59,https://store.nintendo.co.kr/70010000073303
added,Jujubos,6920,3460,50%,2025-09-02,2025/9/7 23:59,https://store.nintendo.co.kr/70010000053088
added,Krispain Hero:Roguelite Dungeon Shooter Fire Simulator Counter FPS World,12990,3990,69%,2025-09-02,2025/9/15 23:59,https://store.nintendo.co.kr/70010000057320
added,Mystery Lover,7000,4900,30%,2025-09-02,2025/9/12 23:59,https://store.nintendo.co.kr/70010000068593
added,Bus Simulator 2023: City Driver,19990,2890,86%,2025-09-02,2025/9/11 23:59,https://store.nintendo.co.kr/70010000066912
added,Dungeons of Dreadrock,12000,1000,92%,2025-09-02,2025/9/28 23:59,https://store.nintendo.co.kr/70010000052494
added,Truck and Forklift Logistic Simulator,14990,1990,87%,2025-09-02,2025/9/16 23:59,https://store.nintendo.co.kr/70010000077358
added,Prison City,11000,8800,20%,2025-09-02,2025/9/10 23:59,https://store.nintendo.co.kr/70010000068579
added,The Cosmic Wheel Sisterhood,19500,9750,50%,2025-09-02,2025/9/11 23:59,https://store.nintendo.co.kr/70010000064686
added,Dungeons of Dreadrock 2 - The Dead King's Secret,19900,9950,50%,2025-09-02,2025/9/28 23:59,https://store.nintendo.co.kr/70010000067967
added,Airport Manager Simulator 2025,14990,4490,70%,2025-09-02,2025/9/15 23:59,https://store.nintendo.co.kr/70010000095879
added,Howl,12500,6250,50%,2025-09-02,2025/9/14 23:59,https://store.nintendo.co.kr/70010000073694
added,Roots of Pacha,27800,16680,40%,2025-09-02,2025/9/14 23:59,https://store.nintendo.co.kr/70010000069218
added,Swapshot,5000,1750,65%,2025-09-02,2025/9/11 23:59,https://store.nintendo.co.kr/70010000070182
added,ONLY UP! REMASTER,8390,4190,50%,2025-09-02,2025/9/15 23:59,https://store.nintendo.co.kr/70010000096558
added,Ralph and the Blue Ball (랄프와 파란색 공),2700,1620,40%,2025-09-02,2025/9/23 23:59,https://store.nintendo.co.kr/70010000074102
added,nOS 뉴 오퍼레이팅 시스템,51980,1990,96%,2025-09-02,2025/9/28 23:59,https://store.nintendo.co.kr/70010000058458
added,월드워 디데이 PART TWO(World War: D-Day PART TWO),19000,7600,60%,2025-09-02,2025/9/19 23:59,https://store.nintendo.co.kr/70010000074975
added,월드워 디데이 PART ONE(World War: D-Day PART ONE),19000,7600,60%,2025-09-02,2025/9/19 23:59,https://store.nintendo.co.kr/70010000073966
removed,Mudness Offroad Car Simulator Runner,18990,2990,84%,2025-09-01,2025/9/1 23:59,https://store.nintendo.co.kr/70010000095812
removed,Figment 2: Creed Valley,25590,1990,92%,2025-09-01,2025/9/1 23:59,https://store.nintendo.co.kr/70010000046996
removed,TUNIC,39200,19600,50%,2025-09-01,2025/9/1 23:59,https://store.nintendo.co.kr/70010000058412
removed,Batbarian: Testament of the Primordials,18550,7420,60%,2025-09-01,2025/9/1 23:59,https://store.nintendo.co.kr/70010000045761
removed,Untitled Goose Game,20500,10250,50%,2025-09-01,2025/9/1 23:59,https://store.nintendo.co.kr/70010000067772
removed,ENDER MAGNOLIA: Bloom in the Mist,34000,22100,35%,2025-09-01,2025/9/1 23:59,https://store.nintendo.co.kr/70010000078172
removed,판타지 대장장이 상점 시뮬레이터 : Fantasy Blacksmith Shop Simulator,8900,1900,79%,2025-09-01,2025/9/1 23:59,https://store.nintendo.co.kr/70010000075469
removed,원피스 오디세이 디럭스 에디션,59800,29800,50%,2025-09-01,2025/9/1 23:59,https://store.nintendo.co.kr/70010000063982
removed,테일즈 오브 베스페리아 REMASTER,59800,11800,80%,2025-09-01,2025/9/1 23:59,https://store.nintendo.co.kr/70010000013581
removed,"Little Kitty, Big City",29900,17940,40%,2025-09-01,2025/9/1 23:59,https://store.nintendo.co.kr/70010000077505
removed,Bug Fables: The Everlasting Sapling,31000,12400,60%,2025-09-01,2025/9/1 23:59,https://store.nintendo.co.kr/70010000055162
removed,DobbyxEscape: Spooky Adventure,5500,1100,80%,2025-09-01,2025/9/1 23:59,https://store.nintendo.co.kr/70010000061399
removed,Momodora: Reverie Under the Moonlight,23650,9460,60%,2025-09-01,2025/9/1 23:59,https://store.nintendo.co.kr/70010000016130
removed,Blast Rush LS,10700,8560,20%,2025-09-01,2025/9/1 23:59,https://store.nintendo.co.kr/70010000089649
removed,전생했더니 슬라임이었던 건에 대하여 템페스트 스토리즈,59800,23800,60%,2025-09-01,2025/9/1 23:59,https://store.nintendo.co.kr/70010000062356
removed,ENDER LILIES: Quietus of the Knights,27980,11190,60%,2025-09-01,2025/9/1 23:59,https://store.nintendo.co.kr/70010000035190
removed,The Witch's House MV,17650,7060,60%,2025-09-01,2025/9/1 23:59,https://store.nintendo.co.kr/70010000054072
