status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,Mists of Noyah,13800,9660,30%,2025-09-17,2025/9/29 23:59,https://store.nintendo.co.kr/70010000065946
added,Project Drift Japan Challenge,9990,4190,58%,2025-09-17,2025/9/26 23:59,https://store.nintendo.co.kr/70010000080932
added,SNK VS. CAPCOM SVC CHAOS,29800,23840,20%,2025-09-17,2025/9/24 23:59,https://store.nintendo.co.kr/70010000070136
added,백일몽: 잊힌 슬픔 (Daydream: Forgotten Sorrow),20500,13320,35%,2025-09-17,2025/9/17 23:59,https://store.nintendo.co.kr/70010000065405
added,항공기 비행 시뮬레이터 (Airplane Flight Simulator),19000,3800,80%,2025-09-17,2025/10/13 23:59,https://store.nintendo.co.kr/70010000067079
added,경찰 시뮬레이터 2023 (Police Simulator 2023),27000,3900,86%,2025-09-17,2025/10/13 23:59,https://store.nintendo.co.kr/70010000067234
added,어반 워페어 어썰트(Urban Warfare: Assault),19000,10070,47%,2025-09-17,2025/9/19 23:59,https://store.nintendo.co.kr/70010000083155
added,Basketball Legends 24,13990,3990,71%,2025-09-17,2025/9/30 23:59,https://store.nintendo.co.kr/70010000086578
added,Truck Simulator USA,26000,2600,90%,2025-09-17,2025/10/13 23:59,https://store.nintendo.co.kr/70010000066263
added,Bunny Zoo - Animal Battle Royale,11990,4400,63%,2025-09-17,2025/9/30 23:59,https://store.nintendo.co.kr/70010000088704
added,Restaurant Health Inspection Simulator: Sanitary Service,17990,3990,78%,2025-09-17,2025/9/30 23:59,https://store.nintendo.co.kr/70010000079074
added,Music Box,9620,1990,79%,2025-09-17,2025/9/27 23:59,https://store.nintendo.co.kr/70010000082975
added,택티컬 밴디츠,14900,3720,75%,2025-09-17,2025/9/22 23:59,https://store.nintendo.co.kr/70010000071710
added,Battle Planet - Judgement Day,13000,5200,60%,2025-09-17,2025/10/13 23:59,https://store.nintendo.co.kr/70010000067953
added,Helicopter Battle Arena Simulator,16590,3990,76%,2025-09-17,2025/9/30 23:59,https://store.nintendo.co.kr/70010000081550
added,LEGO® Voyagers,26900,24210,10%,2025-09-17,2025/9/29 23:59,https://store.nintendo.co.kr/70010000105069
added,LEGO® Voyagers,26900,24210,10%,2025-09-17,2025/9/29 23:59,https://store.nintendo.co.kr/70010000082985
added,Naheulbeuk's Dungeon Master,38000,22800,40%,2025-09-17,2025/9/24 23:59,https://store.nintendo.co.kr/70010000078475
added,Super Woden GP II,15000,9900,34%,2025-09-17,2025/9/25 23:59,https://store.nintendo.co.kr/70010000080069
added,nPool,15190,1990,87%,2025-09-17,2025/9/27 23:59,https://store.nintendo.co.kr/70010000083125
added,Last Bloody Snack,13990,4190,70%,2025-09-17,2025/9/30 23:59,https://store.nintendo.co.kr/70010000078439
added,Driving School Simulator,19000,2800,85%,2025-09-17,2025/10/13 23:59,https://store.nintendo.co.kr/70010000065482
added,Waffle Kitty,8100,1990,75%,2025-09-17,2025/10/13 23:59,https://store.nintendo.co.kr/70010000100778
added,AGENT 07- SPY REVENGE,13990,4190,70%,2025-09-17,2025/9/30 23:59,https://store.nintendo.co.kr/70010000098086
added,Sugoi Girls: Kinky Knight,9000,1990,78%,2025-09-17,2025/10/5 23:59,https://store.nintendo.co.kr/70010000083798
