status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,CORE.SYS,5000,4000,20%,2025-08-22,2025/9/10 23:59,https://store.nintendo.co.kr/70010000100374
added,Candylands Journey,11800,9440,20%,2025-08-22,2025/9/3 23:59,https://store.nintendo.co.kr/70010000097088
added,Surmount,18900,4720,75%,2025-08-22,2025/9/12 23:59,https://store.nintendo.co.kr/70010000077590
added,Hentai Stewardess Girls,12990,2990,77%,2025-08-22,2025/9/4 23:59,https://store.nintendo.co.kr/70010000092441
added,Death Mask,13000,11700,10%,2025-08-22,2025/8/27 23:59,https://store.nintendo.co.kr/70010000097257
added,드래곤볼 파이터즈,29800,4800,84%,2025-08-22,2025/9/16 23:59,https://store.nintendo.co.kr/70010000012963
added,Anime Girls: Nimble Ninja,9000,2990,67%,2025-08-22,2025/9/24 23:59,https://store.nintendo.co.kr/70010000103044
added,Ace Angler 낚시 스피릿 파닥파닥 즐거운 수족관,54800,19800,64%,2025-08-22,2025/9/16 23:59,https://store.nintendo.co.kr/70010000054583
added,Sky of Destruction,14700,11760,20%,2025-08-22,2025/9/3 23:59,https://store.nintendo.co.kr/70010000091419
added,Reel it! Ocean Fishing,12000,8800,27%,2025-08-22,2025/9/3 23:59,https://store.nintendo.co.kr/70010000100736
added,틀린 글자 찾아라,3900,2900,26%,2025-08-22,2025/8/27 23:59,https://store.nintendo.co.kr/70010000103588
added,WEJAM,11990,1190,90%,2025-08-22,2025/9/17 23:59,https://store.nintendo.co.kr/70010000070915
added,전장의 푸가2,50400,25200,50%,2025-08-22,2025/8/31 23:59,https://store.nintendo.co.kr/70010000056843
added,10살 전에 키우는 패턴 사고 퍼즐,8900,7900,11%,2025-08-22,2025/8/27 23:59,https://store.nintendo.co.kr/70010000104325
added,The Nameless City,11800,9440,20%,2025-08-22,2025/9/3 23:59,https://store.nintendo.co.kr/70010000086993
added,Figment,19990,1000,95%,2025-08-22,2025/9/17 23:59,https://store.nintendo.co.kr/70010000039724
added,Grit and Valor - 1949,24900,17430,30%,2025-08-22,2025/9/3 23:59,https://store.nintendo.co.kr/70010000088560
added,Gladiators Simulator : The Champions of Liberty,14990,2990,80%,2025-08-22,2025/9/4 23:59,https://store.nintendo.co.kr/70010000092598
added,괴혼 ~굴려라 돌아온 왕자님~,32800,6800,79%,2025-08-22,2025/9/16 23:59,https://store.nintendo.co.kr/70010000035378
added,전장의 푸가（Fuga: Melodies of Steel）,50400,25200,50%,2025-08-22,2025/8/31 23:59,https://store.nintendo.co.kr/70010000034071
added,캘리코의 퀼트와 고양이,21500,17200,20%,2025-08-22,2025/9/17 23:59,https://store.nintendo.co.kr/70010000064246
removed,Kawaii Slime Arena,7000,2450,65%,2025-08-21,2025/8/21 23:59,https://store.nintendo.co.kr/70010000060385
removed,컬러링 픽셀: 콜렉션 4,9700,7270,25%,2025-08-21,2025/8/21 23:59,https://store.nintendo.co.kr/70010000086665
removed,어비스 시커 심연의 끝에서 무엇을 볼 것인가 (ABYSS SEEKER),2300,1840,20%,2025-08-21,2025/8/21 23:59,https://store.nintendo.co.kr/70010000092562
