status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,진공 소녀,21500,9670,55%,2025-10-05,2025/10/31 23:59,https://store.nintendo.co.kr/70010000092190
added,The Long Desert Drive,13990,4190,70%,2025-10-05,2025/10/18 23:59,https://store.nintendo.co.kr/70010000100005
added,My Maitê,5500,1370,75%,2025-10-05,2025/10/23 23:59,https://store.nintendo.co.kr/70010000042466
added,METALLIC CHILD,37000,22200,40%,2025-10-05,2025/10/18 23:59,https://store.nintendo.co.kr/70010000042444
added,신 하야리가미 3,54800,43840,20%,2025-10-05,2025/10/8 23:59,https://store.nintendo.co.kr/70010000048343
added,Castle of no Escape,5500,1370,75%,2025-10-05,2025/10/23 23:59,https://store.nintendo.co.kr/70010000041490
added,Unichrome: A 1-Bit Unicorn Adventure,19000,3800,80%,2025-10-05,2025/10/23 23:59,https://store.nintendo.co.kr/70010000055616
added,Hentai Stewardess Girls,12990,4840,63%,2025-10-05,2025/10/18 23:59,https://store.nintendo.co.kr/70010000092441
added,Arranger: A Role-Puzzling Adventure,24900,12450,50%,2025-10-05,2025/10/11 23:59,https://store.nintendo.co.kr/70010000077908
added,Gladiators Simulator : The Champions of Liberty,14990,3990,73%,2025-10-05,2025/10/18 23:59,https://store.nintendo.co.kr/70010000092598
added,IN-VERT,6800,1700,75%,2025-10-05,2025/10/23 23:59,https://store.nintendo.co.kr/70010000021104
added,Nyakamon Adventures,5500,1370,75%,2025-10-05,2025/10/23 23:59,https://store.nintendo.co.kr/70010000040453
added,CONERU -DIMENSION GIRL-,21500,17200,20%,2025-10-05,2025/10/18 23:59,https://store.nintendo.co.kr/70010000097669
added,I See Red,16050,3990,75%,2025-10-05,2025/10/31 23:59,https://store.nintendo.co.kr/70010000079812
added,모자이크 크로니클 디럭스,16060,3990,75%,2025-10-05,2025/10/31 23:59,https://store.nintendo.co.kr/70010000061473
added,Golfinite,17140,3990,77%,2025-10-05,2025/10/31 23:59,https://store.nintendo.co.kr/70010000075586
added,O-VOID: Console Edition,6500,1620,75%,2025-10-05,2025/10/23 23:59,https://store.nintendo.co.kr/70010000079253
added,Scrap Divers,7000,1750,75%,2025-10-05,2025/10/23 23:59,https://store.nintendo.co.kr/70010000093112
added,ARIA CHRONICLE -아리아 크로니클-,37000,18500,50%,2025-10-05,2025/10/18 23:59,https://store.nintendo.co.kr/70010000036847
added,ALTF4,7400,4810,35%,2025-10-05,2025/10/18 23:59,https://store.nintendo.co.kr/70010000061331
removed,리:플레이（RE:PLAY),9600,5760,40%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000100920
removed,World War Battle Heroes Field Armies Call of Prison Duty Simulator,6900,4400,36%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000061377
removed,Tales of Shinobi Fantasy Magic Anime World Fight RPG Simulator,6580,3990,39%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000059350
removed,Little Noah: Scion of Paradise,14800,4440,70%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000049099
removed,Tiny Lands - Deluxe Edition,14500,5800,60%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000093624
removed,Zombie Blocks: Pixel Shooter Gun,10990,3990,64%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000090697
removed,Super Bunny Man,16000,12000,25%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000075281
removed,"연금술사 시뮬레이터 ""Alchemist Simulator""",14500,3620,75%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000052771
removed,Cozy Land,10000,1990,80%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000093037
removed,Meow Moments: Celebrating Renewal & Romance,3900,2730,30%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000089504
removed,"이름 없는 증후군: 미개척 체르노빌 ""S.W.A.N.: Chernobyl Unexplored""",15550,3880,75%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000053462
removed,Rally Race: Offroad Simulator,17990,3990,78%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000073465
removed,항공기 비행 시뮬레이터: 전투 구역 ( Airplane Flight Simulator : Combat Zone ),29000,3900,87%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000090452
removed,SCHEDULE I - MAFIA EMPIRE,17990,4290,76%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000098163
removed,낚시 천국,15000,10000,33%,2025-10-04,2025/10/6 23:59,https://store.nintendo.co.kr/70010000048251
removed,Trench Shooter : Warfare Tactics,17990,3990,78%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000089793
removed,Moto Racer Simulator GT Games,14990,4440,70%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000069584
removed,"요리사의 꼬리 ""Chef's Tail""",14000,4200,70%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000052937
removed,O---O,4700,1410,70%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000053135
removed,Tralalero Tralala Simulator,8590,3990,54%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000099740
removed,Nine Nights - Martial Ci Lang Story,13990,4190,70%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000079047
removed,Urban Car Driver Simulator: City Explorer Challenge,14990,4490,70%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000091114
removed,Gladiatorial Conquest Battle: Arena of Legends,13990,3990,71%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000076284
removed,Sniper - Elite Shooter Squad,11790,3990,66%,2025-10-04,2025/10/4 23:59,https://store.nintendo.co.kr/70010000073754
