status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,GigaBash,32000,12800,60%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000065818
added,100 Demon Fantasia,10000,4000,60%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000074715
added,W.A.R.P.,6200,1860,70%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000059322
added,Airplane Delivery Simulator 2024: Realistic Geographical,11990,2990,75%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000078084
added,Treasures of The Roman Empire,9350,2800,70%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000056907
added,WINGSPAN (윙스팬),21500,10750,50%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000043991
added,The Skylia Prophecy,8000,2400,70%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000037912
added,BODY CAM SHOOTER,14990,6990,53%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000089521
added,AirJet Fighter Sky Dominators: Aerial Assault,18890,2990,84%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000071802
added,DAMN,9800,2940,70%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000090645
added,스피릿티,21500,12900,40%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000072466
added,Border Police: Contraband Simulator 2024,8990,6990,22%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000087478
added,Rusty Spout Rescue Adventure,8000,2400,70%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000029802
added,Floor Plan Puzzle (Red Room Simulator),5600,4480,20%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000098606
added,Floor Plan Puzzle (Red Room Simulator),5600,4480,20%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000098606
added,Ghost Sweeper,5000,1500,70%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000028812
added,Ghosts and Apples featuring Jack Redrum,11990,3590,70%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000046230
added,nPaint,24950,1990,92%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000061116
added,Superliminal,24000,12000,50%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000028671
added,Hentai World,19830,1990,90%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000064094
added,CrashMetal - Drift Racing Car Driving Simulator 2022 Games,15990,2890,82%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000055020
added,Teppo and The Secret Ancient City,10500,3150,70%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000058405
added,Fighter Aces: Sky Dominance,17990,6800,62%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000088578
added,Escape String,9700,2910,70%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000057035
added,Dyna Bomb,4500,1350,70%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000019421
added,"Mudness Offroad Car Simulator - 4x4 Racing Games Driving, Parking, Battle, Tuning 2022 SIM Kart",18990,2990,84%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000052419
added,정원의 작은 친구,19910,1990,90%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000070809
added,Truck Simulator 2023 - Driver Europe,19990,2990,85%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000067246
added,Dinosaur RPG - Dino Survival Simulator Survivor,13990,6990,50%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000087565
added,Truck Mechanic Sim 2025,14990,1000,93%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000091449
added,Subway Simulator - Underground Train Ride Station Ultimate Driving Games,14990,2590,83%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000066247
added,MFC - Midnight Fight Club,14000,6990,50%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000085361
added,카이코와 코코쉬: 색칠 놀이 책,13360,1990,85%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000050077
added,Dyna Bomb 2,20000,6000,70%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000045687
added,Bid Battle: Auction War Simulator Storage Hunter,17990,2990,83%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000082597
added,Battle Rockets™,10000,7000,30%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000096530
added,Battle Rockets™,10000,7000,30%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000096530
added,TCG Card Market Simulator,12990,6990,46%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000090370
added,Flight Simulator Delivery: Cargo Business,13990,6990,50%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000087006
added,Disney Dreamlight Valley,50400,35280,30%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000033553
added,Shootvaders: The Beginning,9200,2760,70%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000063011
added,Last Beat Enhanced,12990,3890,70%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000054558
added,ESCAPE - BACKROOMS HORROR,6990,5440,22%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000085050
added,After Wave: Downfall,19900,5970,70%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000041797
added,Instants,13500,10800,20%,2025-08-09,요청 오류,https://store.nintendo.co.kr/70010000094950
