status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,Squirrel Madness,11990,3990,67%,2025-09-08,2025/9/21 23:59,https://store.nintendo.co.kr/70010000096494
added,Bubble Shooter World,4300,2150,50%,2025-09-08,2025/9/21 23:59,https://store.nintendo.co.kr/70010000090560
added,Island Cities (아일랜드 시티),3300,2310,30%,2025-09-08,2025/10/4 23:59,https://store.nintendo.co.kr/70010000070928
added,Geometric Sniper - Blood in Paris,3800,1000,74%,2025-09-08,2025/9/21 23:59,https://store.nintendo.co.kr/70010000053552
added,GRIME Definitive Edition,26000,19500,25%,2025-09-08,2025/9/22 23:59,https://store.nintendo.co.kr/70010000047291
added,항공기 비행 시뮬레이터: 전투 구역 ( Airplane Flight Simulator : Combat Zone ),29000,3900,87%,2025-09-08,2025/10/4 23:59,https://store.nintendo.co.kr/70010000090452
added,Express Courier Pro: Urban Bike Delivery Simulator 2024!,13990,3990,71%,2025-09-08,2025/9/21 23:59,https://store.nintendo.co.kr/70010000078079
added,Zodiacats,3800,1000,74%,2025-09-08,2025/9/21 23:59,https://store.nintendo.co.kr/70010000058773
added,Crowded Mysteries,4900,1000,80%,2025-09-08,2025/9/21 23:59,https://store.nintendo.co.kr/70010000068967
added,Ultra Foodmess,5200,2600,50%,2025-09-08,2025/9/21 23:59,https://store.nintendo.co.kr/70010000065300
added,Brain Memory Training Academy,6490,3990,39%,2025-09-08,2025/9/21 23:59,https://store.nintendo.co.kr/70010000075328
added,BIRFIA,3400,1000,71%,2025-09-08,2025/9/21 23:59,https://store.nintendo.co.kr/70010000053519
added,Kittens and Yarn,3400,1000,71%,2025-09-08,2025/9/21 23:59,https://store.nintendo.co.kr/70010000047014
added,Forest Ranger Life Simulator,12990,3990,69%,2025-09-08,2025/9/21 23:59,https://store.nintendo.co.kr/70010000090720
added,Everafter Falls,28000,22400,20%,2025-09-08,2025/9/22 23:59,https://store.nintendo.co.kr/70010000080184
added,Behind the Frame: 가장 아름다운 경치,13500,8770,35%,2025-09-08,2025/9/22 23:59,https://store.nintendo.co.kr/70010000047180
