status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,메트로이드 프라임 리마스터,44800,31360,30%,2025-09-13,2025/9/25 23:59,https://store.nintendo.co.kr/70010000063711
added,MySims™: Cozy 번들,47000,23500,50%,2025-09-13,2025/9/23 23:59,https://store.nintendo.co.kr/70010000084818
added,Virgo Versus The Zodiac,23150,9260,60%,2025-09-13,2025/9/26 15:59,https://store.nintendo.co.kr/70010000067797
added,어린이를 위한 메모리 게임,13020,1990,85%,2025-09-13,2025/10/9 23:59,https://store.nintendo.co.kr/70010000065411
added,하우스토리아,14900,1990,87%,2025-09-13,2025/10/9 23:59,https://store.nintendo.co.kr/70010000045651
added,Palland,13990,3990,71%,2025-09-13,2025/9/26 23:59,https://store.nintendo.co.kr/70010000097559
added,Airplane Race Simulator - 2 Player Game,10990,3990,64%,2025-09-13,2025/9/26 23:59,https://store.nintendo.co.kr/70010000069541
added,It Takes Two,47000,14100,70%,2025-09-13,2025/9/23 23:59,https://store.nintendo.co.kr/70070000014923
added,Unravel Two,24000,7200,70%,2025-09-13,2025/9/23 23:59,https://store.nintendo.co.kr/70010000015567
added,Shadowblade Knight Symphony,13990,3990,71%,2025-09-13,2025/9/26 23:59,https://store.nintendo.co.kr/70010000081753
added,Super Mega Baseball™ 4 Standard Edition,59000,5900,90%,2025-09-13,2025/9/23 23:59,https://store.nintendo.co.kr/70010000048938
added,Luna & Monsters Tower Defense -The deprived magical kingdom-,12000,3000,75%,2025-09-13,2025/9/28 23:59,https://store.nintendo.co.kr/70010000067607
added,Tales of Kenzera™: ZAU,24000,9600,60%,2025-09-13,2025/9/23 23:59,https://store.nintendo.co.kr/70010000044342
added,Need for Speed™ Hot Pursuit Remastered,47000,9400,80%,2025-09-13,2025/9/23 23:59,https://store.nintendo.co.kr/70010000029276
added,Fe,24000,7200,70%,2025-09-13,2025/9/23 23:59,https://store.nintendo.co.kr/70010000027359
added,Dinkum(딩컴),24000,21600,10%,2025-09-13,2025/11/6 08:59,https://store.nintendo.co.kr/70010000088500
added,Fitness Boxing Fist of the North Star,79800,7980,90%,2025-09-13,2025/9/26 23:59,https://store.nintendo.co.kr/70010000058856
added,Mine Clicker - Base Craft Building Game,9990,3990,60%,2025-09-13,2025/9/26 23:59,https://store.nintendo.co.kr/70010000092603
added,Culinary Cooking Master Simulator,17690,3990,77%,2025-09-13,2025/9/26 23:59,https://store.nintendo.co.kr/70010000080303
added,Maki: Paw of Fury,15200,3990,74%,2025-09-13,2025/10/9 23:59,https://store.nintendo.co.kr/70010000085721
added,Slay the Princess - The Pristine Cut,24080,18060,25%,2025-09-13,2025/9/21 15:59,https://store.nintendo.co.kr/70010000087482
added,노라: 연금술사가 되려는 자,27090,1990,93%,2025-09-13,2025/10/9 23:59,https://store.nintendo.co.kr/70010000070366
added,Lost in Random™,36000,5400,85%,2025-09-13,2025/9/23 23:59,https://store.nintendo.co.kr/70010000033060
added,우울한 눈동자,34990,27990,20%,2025-09-13,2025/10/8 23:59,https://store.nintendo.co.kr/70010000098799
added,리:플레이（RE:PLAY),9600,5760,40%,2025-09-13,2025/10/4 23:59,https://store.nintendo.co.kr/70010000100920
added,백 브래들리,6900,1990,71%,2025-09-13,2025/10/9 23:59,https://store.nintendo.co.kr/70010000050071
added,Burnout™ Paradise Remastered,36000,5760,84%,2025-09-13,2025/9/23 23:59,https://store.nintendo.co.kr/70010000027021
added,디플렉터,30350,1990,93%,2025-09-13,2025/10/9 23:59,https://store.nintendo.co.kr/70010000063526
added,Muv-Luv Alternative Remastered,42800,29960,30%,2025-09-13,2025/9/16 23:59,https://store.nintendo.co.kr/70010000082650
added,Offroad Truck 4x4 Dirt Simulator - Rally Racing Game,12990,4400,66%,2025-09-13,2025/9/26 23:59,https://store.nintendo.co.kr/70010000065624
added,Muv-Luv Remastered,32800,22960,30%,2025-09-13,2025/9/16 23:59,https://store.nintendo.co.kr/70010000082648
