status,Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
added,헨타이 메모리,26620,2990,89%,2025-10-17,2025/11/12 23:59,https://store.nintendo.co.kr/70010000074644
added,Robot Warfare War Game,12000,6000,50%,2025-10-17,2025/10/30 23:59,https://store.nintendo.co.kr/70010000102109
added,Chained Climb Together,8990,5990,33%,2025-10-17,2025/10/30 23:59,https://store.nintendo.co.kr/70010000089538
added,Hollow Cocoon,17200,15480,10%,2025-10-17,2025/11/9 23:59,https://store.nintendo.co.kr/70010000082460
added,롤링 카,9740,3990,59%,2025-10-17,2025/11/12 23:59,https://store.nintendo.co.kr/70010000051237
added,X-Force Genesis - Definitive Edition,10000,5000,50%,2025-10-17,2025/11/14 23:59,https://store.nintendo.co.kr/70010000100661
added,Yandere Girlfriend Simulator: Psycho Romance Game,34990,13990,60%,2025-10-17,2025/10/29 23:59,https://store.nintendo.co.kr/70010000102261
added,SUSHI SOUL UNIVERSE,13210,6600,50%,2025-10-17,2025/11/9 23:59,https://store.nintendo.co.kr/70010000078496
added,Shalnor: Silverwind Saga,14000,7000,50%,2025-10-17,2025/10/31 23:59,https://store.nintendo.co.kr/70010000091003
added,Cat God Ranch,13490,10790,20%,2025-10-17,2025/10/29 23:59,https://store.nintendo.co.kr/70010000103835
added,TSUKIHIME -A piece of blue glass moon-,75000,45000,40%,2025-10-17,2025/11/12 23:59,https://store.nintendo.co.kr/70010000077994
added,THE LOST DINO: SURVIVAL EXPEDITION,13990,4190,70%,2025-10-17,2025/10/30 23:59,https://store.nintendo.co.kr/70010000097329
added,패밀리체스,24730,2990,88%,2025-10-17,2025/11/12 23:59,https://store.nintendo.co.kr/70010000047379
added,Hunter Simulator : Wild Hunting,13990,6990,50%,2025-10-17,2025/10/30 23:59,https://store.nintendo.co.kr/70010000090248
added,Hentai Party: Secret Garden,26990,5390,80%,2025-10-17,2025/11/13 23:59,https://store.nintendo.co.kr/70010000107008
added,어드벤처러,7800,6630,15%,2025-10-17,2025/10/29 23:59,https://store.nintendo.co.kr/70010000096743
added,n골프,28560,2990,90%,2025-10-17,2025/11/12 23:59,https://store.nintendo.co.kr/70010000074468
added,Puzzle Wars,7070,2820,60%,2025-10-17,2025/11/5 23:59,https://store.nintendo.co.kr/70010000094556
added,"Isolation Instinct: Farming, Craft, Survival",13990,4190,70%,2025-10-17,2025/10/30 23:59,https://store.nintendo.co.kr/70010000089201
added,Cop Car Police Simulator Chase,11870,4490,62%,2025-10-17,2025/10/30 23:59,https://store.nintendo.co.kr/70010000049356
added,Pirate Bloopers,12990,3240,75%,2025-10-17,2025/11/12 23:59,https://store.nintendo.co.kr/70010000075632
added,Raft Survival Simulator,16890,6990,59%,2025-10-17,2025/10/30 23:59,https://store.nintendo.co.kr/70010000075542
added,Voltline (볼트라인),7000,4200,40%,2025-10-17,2025/11/12 23:59,https://store.nintendo.co.kr/70010000104630
added,Cozy Memory,14000,2990,79%,2025-10-17,2025/11/11 23:59,https://store.nintendo.co.kr/70010000107487
added,쿡 포 러브,18000,2990,83%,2025-10-17,2025/11/12 23:59,https://store.nintendo.co.kr/70010000084684
added,Despotism 3k,12400,3100,75%,2025-10-17,2025/11/12 23:59,https://store.nintendo.co.kr/70010000036267
added,Clothes & Outlet Supermarket Store Simulator,15990,4790,70%,2025-10-17,2025/10/30 23:59,https://store.nintendo.co.kr/70010000095729
added,Kotenok,5000,4000,20%,2025-10-17,2025/11/5 23:59,https://store.nintendo.co.kr/70010000102720
added,Muv-Luv Alternative Remastered,42800,29960,30%,2025-10-17,2025/11/6 23:59,https://store.nintendo.co.kr/70010000082650
added,Space Planet Invader - Cosmic Power,10990,3990,64%,2025-10-17,2025/10/30 23:59,https://store.nintendo.co.kr/70010000086510
added,PEAK The Adventure Begins,9730,3890,60%,2025-10-17,2025/11/2 23:59,https://store.nintendo.co.kr/70010000105007
added,Not Not 2 - 두뇌 챌린지,5690,2560,55%,2025-10-17,2025/11/12 23:59,https://store.nintendo.co.kr/70010000100581
added,The GhostX : Sniper Simulator (Tactical Shooting & Eliminator),19990,4790,76%,2025-10-17,2025/10/30 23:59,https://store.nintendo.co.kr/70010000071554
added,Real Car Driving Simulator & Parking 2022 Games,12990,4890,62%,2025-10-17,2025/10/30 23:59,https://store.nintendo.co.kr/70010000054946
added,Muv-Luv Remastered,32800,22960,30%,2025-10-17,2025/11/6 23:59,https://store.nintendo.co.kr/70010000082648
added,Doomsday Hunters,21990,7690,65%,2025-10-17,2025/11/12 23:59,https://store.nintendo.co.kr/70010000068989
added,Cop Officers: Police Simulator of NYPD City,16990,6990,59%,2025-10-17,2025/10/30 23:59,https://store.nintendo.co.kr/70010000089238
added,The Nightmare Journey,6990,4190,40%,2025-10-17,2025/10/30 23:59,https://store.nintendo.co.kr/70010000086015
added,Moto Racer 2044 Game Simulator,13990,4190,70%,2025-10-17,2025/10/30 23:59,https://store.nintendo.co.kr/70010000070337
added,마법사의 밤(WITCH ON THE HOLY NIGHT),66000,39600,40%,2025-10-17,2025/11/12 23:59,https://store.nintendo.co.kr/70010000052132
added,EvoMonsters,13860,3990,71%,2025-10-17,2025/11/12 23:59,https://store.nintendo.co.kr/70010000083467
added,Snow Moto - Racing Adventure,16990,3990,77%,2025-10-17,2025/10/30 23:59,https://store.nintendo.co.kr/70010000076006
added,Smoots Crazy Wave,12000,9600,20%,2025-10-17,2025/11/5 23:59,https://store.nintendo.co.kr/70010000106564
added,Rise of Rana,27900,11160,60%,2025-10-17,2025/11/12 23:59,https://store.nintendo.co.kr/70010000101225
added,음이 설레는 순간,15000,12000,20%,2025-10-17,2025/10/29 23:59,https://store.nintendo.co.kr/70010000095567
added,Float Survival Simulator - Ocean Survivor,17990,6990,61%,2025-10-17,2025/10/30 23:59,https://store.nintendo.co.kr/70010000087061
added,Yandere Boyfriend Simulator: Psycho Romance Game,34990,13990,60%,2025-10-17,2025/10/29 23:59,https://store.nintendo.co.kr/70010000102347
