Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
호그와트 레거시 Hogwarts Legacy,79800,15960,80%,2025-08-28,2025/9/7 23:59,https://store.nintendo.co.kr/70010000062279
Overcooked! All You Can Eat,41000,13940,66%,2025-08-28,2025/8/31 23:59,https://store.nintendo.co.kr/70010000037360
장미와 동백 - 호화찬란 버전,15560,6220,60%,2025-08-28,2025/9/14 23:59,https://store.nintendo.co.kr/70010000062210
8번 출구,4500,3600,20%,2025-08-28,2025/9/14 23:59,https://store.nintendo.co.kr/70010000079121
동물 타워 배틀,4800,3360,30%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000083838
다함께 쿠키요미,5250,2620,50%,2025-08-28,2025/9/2 23:59,https://store.nintendo.co.kr/70010000027865
미제사건은 끝내야 하니까,10800,7560,30%,2025-08-28,2025/9/14 23:59,https://store.nintendo.co.kr/70010000083095
SHINOBI 복수의 참격,27800,25020,10%,2025-08-28,2025/8/29 12:59,https://store.nintendo.co.kr/70010000066780
8번 승강장,4500,3600,20%,2025-08-28,2025/9/14 23:59,https://store.nintendo.co.kr/70010000085175
ENDER MAGNOLIA: Bloom in the Mist,34000,22100,35%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000078172
도시전설 해체센터,19500,17550,10%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000073248
PICO PARK 2,9900,6930,30%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000077282
나인 솔즈 (Nine Sols),34800,20880,40%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000073075
태고의 달인 쿵딱! 원더풀 페스티벌 태고 뮤직 패스 90일 이용권 세트,69800,23800,66%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000057569
Moving Out,32600,6520,80%,2025-08-28,2025/8/31 23:59,https://store.nintendo.co.kr/70010000029909
Untitled Goose Game,20500,10250,50%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000067772
저스트 댄스 2025 에디션,59000,23500,60%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70070000020994
PICO PARK,5500,3850,30%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000019265
호그와트 레거시Hogwarts Legacy,79800,55860,30%,2025-08-28,2025/9/7 23:59,https://store.nintendo.co.kr/70010000095419
TUNIC,39200,19600,50%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000058412
Chicory: A Colorful Tale,25900,12950,50%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000075474
Ship of Fools,25200,10080,60%,2025-08-28,2025/8/31 23:59,https://store.nintendo.co.kr/70010000052585
얼티밋 치킨 호스,16000,7200,55%,2025-08-28,2025/8/29 23:59,https://store.nintendo.co.kr/70010000027445
ENDER LILIES: Quietus of the Knights,27980,11190,60%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000035190
사이버펑크 2077: 얼티밋 에디션,89900,80900,10%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000095549
Darkest Dungeon II,42000,25200,40%,2025-08-28,2025/8/29 23:59,https://store.nintendo.co.kr/70010000082555
Shift Happens,12000,1200,90%,2025-08-28,2025/9/2 23:59,https://store.nintendo.co.kr/70010000052333
괴혼 ~굴려라 돌아온 왕자님~,32800,6800,79%,2025-08-28,2025/9/16 23:59,https://store.nintendo.co.kr/70010000035378
프린세스 메이커 2 리제네레이션（Princess Maker 2 Regeneration）,38900,19450,50%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000067840
테일즈 오브 베스페리아 REMASTER,59800,11800,80%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000013581
"Little Kitty, Big City",29900,17940,40%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000077505
Crazy Trucks,19990,1000,95%,2025-08-28,2025/9/7 23:59,https://store.nintendo.co.kr/70010000046495
드래곤볼 파이터즈,29800,4800,84%,2025-08-28,2025/9/16 23:59,https://store.nintendo.co.kr/70010000012963
온천골 스토리2(Hot Springs Story 2),15000,4950,67%,2025-08-28,2025/9/2 23:59,https://store.nintendo.co.kr/70010000035622
The Survivalists,29600,2960,90%,2025-08-28,2025/8/31 23:59,https://store.nintendo.co.kr/70010000032627
Blasphemous 2,34800,17400,50%,2025-08-28,2025/8/31 23:59,https://store.nintendo.co.kr/70010000070221
Ace Angler 낚시 스피릿 파닥파닥 즐거운 수족관,54800,19800,64%,2025-08-28,2025/9/16 23:59,https://store.nintendo.co.kr/70010000054583
다함께 쿠키요미2 ～레이와～,5250,2620,50%,2025-08-28,2025/9/23 23:59,https://store.nintendo.co.kr/70010000031984
Unrailed!,25990,6490,75%,2025-08-28,2025/9/2 23:59,https://store.nintendo.co.kr/70010000034669
Biped,15500,3100,80%,2025-08-28,2025/9/5 23:59,https://store.nintendo.co.kr/70010000030271
마녀의 샘R,49800,32370,35%,2025-08-28,2025/9/8 02:59,https://store.nintendo.co.kr/70010000080740
OneShot: World Machine Edition,17650,11470,35%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000051301
원피스 오디세이 디럭스 에디션,59800,29800,50%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000063982
돌연변이특공대 닌자거북이: 스플린터의 운명(Teenage Mutant Ninja Turtles: Splintered Fate),37900,18950,50%,2025-08-28,2025/9/9 23:59,https://store.nintendo.co.kr/70010000078906
Celeste,21500,5370,75%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000064972
Backpack Hero,21500,11820,45%,2025-08-28,2025/9/16 23:59,https://store.nintendo.co.kr/70010000074939
Death's Gambit: Afterlife (데스 갬빗: 애프터라이프),42000,10500,75%,2025-08-28,2025/9/2 23:59,https://store.nintendo.co.kr/70010000049976
LEGO® Star Wars™: 스카이워커 사가 (The Skywalker Saga),64800,12960,80%,2025-08-28,2025/9/7 23:59,https://store.nintendo.co.kr/70010000049038
Crypt of the NecroDancer: Nintendo Switch Edition,19800,3960,80%,2025-08-28,2025/9/12 23:59,https://store.nintendo.co.kr/70010000042071
Project Zombie,18190,2790,85%,2025-08-28,2025/9/2 23:59,https://store.nintendo.co.kr/70010000097189
선 헤이븐,35000,24500,30%,2025-08-28,2025/9/5 23:59,https://store.nintendo.co.kr/70010000073885
도라에몽의 팥빵 가게 스토리 (Doraemon Dorayaki Shop Story),25000,20000,20%,2025-08-28,2025/8/30 23:59,https://store.nintendo.co.kr/70010000078678
전국 일반상식 체크,8900,4450,50%,2025-08-28,2025/8/28 23:59,https://store.nintendo.co.kr/70010000073448
Sky Games 하늘 게임,17900,1000,94%,2025-08-28,2025/9/7 23:59,https://store.nintendo.co.kr/70010000048536
Phantom Breaker: Battle Grounds Ultimate,29800,14900,50%,2025-08-28,2025/9/4 23:59,https://store.nintendo.co.kr/70010000062586
Neko Bento,9700,1990,79%,2025-08-28,2025/9/14 23:59,https://store.nintendo.co.kr/70010000088874
MONOPOLY®,35000,17000,51%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000069634
전생했더니 슬라임이었던 건에 대하여 템페스트 스토리즈,59800,23800,60%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000062356
SCHiM,27000,16200,40%,2025-08-28,2025/9/14 23:59,https://store.nintendo.co.kr/70010000079745
버스 운전 시뮬레이터 24 - 도시 도로 (Bus Driving Simulator 24 - City Roads),33000,3900,88%,2025-08-28,2025/8/31 23:59,https://store.nintendo.co.kr/70010000075155
Headbangers: Rhythm Royale,22500,2250,90%,2025-08-28,2025/8/31 23:59,https://store.nintendo.co.kr/70010000069974
Cooking Tycoons 3: 3 in 1 Bundle,16200,1000,94%,2025-08-28,2025/9/9 23:59,https://store.nintendo.co.kr/70010000042694
The Witch's House MV,17650,7060,60%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000054072
Phantom Breaker: Omnia,19800,1980,90%,2025-08-28,2025/8/28 23:59,https://store.nintendo.co.kr/70010000027538
Marooners,16700,1000,94%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000025051
Sweet Bakery Tycoon - 스위트 베이커리 타이쿤,5600,1000,82%,2025-08-28,2025/9/9 23:59,https://store.nintendo.co.kr/70010000038679
Figment,19990,1000,95%,2025-08-28,2025/9/17 23:59,https://store.nintendo.co.kr/70010000039724
Coffee Talk,18300,13720,25%,2025-08-28,2025/9/3 23:59,https://store.nintendo.co.kr/70010000031727
10살 전에 키우는 패턴 사고 퍼즐,8900,7900,11%,2025-08-28,2025/9/21 23:59,https://store.nintendo.co.kr/70010000104325
Not Not 2 - 두뇌 챌린지,5690,2840,50%,2025-08-28,2025/9/9 23:59,https://store.nintendo.co.kr/70010000100581
Bridge Constructor Studio,13500,10120,25%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000092901
Stuff it!,9650,1990,79%,2025-08-28,2025/9/8 23:59,https://store.nintendo.co.kr/70010000099214
Blade Chimera,21500,15050,30%,2025-08-28,2025/9/14 23:59,https://store.nintendo.co.kr/70010000072399
포셔노믹스 -신비한 마법물약 상점-,33000,23100,30%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000084138
Arranger: A Role-Puzzling Adventure,24900,9960,60%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000077908
TSUKIHIME -A piece of blue glass moon-,75000,45000,40%,2025-08-28,2025/9/15 23:59,https://store.nintendo.co.kr/70010000077994
Let Me Sleep,3950,1000,75%,2025-08-28,2025/8/31 23:59,https://store.nintendo.co.kr/70010000076028
트럭 시뮬레이터 시티 딜리버리 (Truck Simulator City Delivery),21000,3900,81%,2025-08-28,2025/8/31 23:59,https://store.nintendo.co.kr/70010000076932
판타지 대장장이 상점 시뮬레이터 : Fantasy Blacksmith Shop Simulator,8900,1900,79%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000075469
이스 메모와르 -펠가나의 맹세-,48800,24400,50%,2025-08-28,2025/9/10 23:59,https://store.nintendo.co.kr/70010000065374
Coffee Talk Episode 2: Hibiscus & Butterfly,18600,13950,25%,2025-08-28,2025/9/3 23:59,https://store.nintendo.co.kr/70010000057839
ONI : 최고의 오니를 향한 여정,41800,12540,70%,2025-08-28,2025/9/3 23:59,https://store.nintendo.co.kr/70010000057982
No Man's Sky,64800,25920,60%,2025-08-28,2025/9/8 23:59,https://store.nintendo.co.kr/70010000044639
Lost Ruins,20500,8200,60%,2025-08-28,2025/9/1 23:59,https://store.nintendo.co.kr/70010000053235
던전마을 스토리2(Dungeon Village 2),15000,7500,50%,2025-08-28,2025/9/2 23:59,https://store.nintendo.co.kr/70010000052832
드림하우스 스토리DX(Dream House Days DX),15000,7500,50%,2025-08-28,2025/9/2 23:59,https://store.nintendo.co.kr/70010000038563
드래곤 퀘스천,4000,1000,75%,2025-08-28,2025/9/9 23:59,https://store.nintendo.co.kr/70010000041730
Worms Rumble,16800,1680,90%,2025-08-28,2025/8/31 23:59,https://store.nintendo.co.kr/70010000037690
다이시 던전,14900,3720,75%,2025-08-28,2025/8/28 23:59,https://store.nintendo.co.kr/70010000028409
LEGO® DC Super-Villains,62000,6200,90%,2025-08-28,2025/9/7 23:59,https://store.nintendo.co.kr/70010000013222
LEGO® 인크레더블,62000,4960,92%,2025-08-28,2025/9/7 23:59,https://store.nintendo.co.kr/70010000010701
LEGO® Party!,49500,44500,10%,2025-08-28,2025/10/1 00:59,https://store.nintendo.co.kr/70010000096457
Dragon Ruins,11400,10260,10%,2025-08-28,2025/9/4 23:59,https://store.nintendo.co.kr/70010000102066
Sky of Destruction,14700,11760,20%,2025-08-28,2025/9/3 23:59,https://store.nintendo.co.kr/70010000091419
Grit and Valor - 1949,24900,17430,30%,2025-08-28,2025/9/3 23:59,https://store.nintendo.co.kr/70010000088560
세계 일주 퍼즐,3900,2900,26%,2025-08-28,2025/9/14 23:59,https://store.nintendo.co.kr/70010000103338
