Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
데이브 더 다이버 (DAVE THE DIVER),24000,15600,35%,2025-08-13,2025/8/13 23:59,https://store.nintendo.co.kr/70010000060369
피크민 4,64800,45360,30%,2025-08-13,2025/8/13 23:59,https://store.nintendo.co.kr/70010000063718
Overcooked! All You Can Eat,41000,13940,66%,2025-08-13,2025/8/31 23:59,https://store.nintendo.co.kr/70010000037360
젤다의 전설 꿈꾸는 섬,64800,45360,30%,2025-08-13,2025/8/13 23:59,https://store.nintendo.co.kr/70010000022823
뉴 슈퍼 마리오브라더스 U 디럭스,64800,45360,30%,2025-08-13,2025/8/13 23:59,https://store.nintendo.co.kr/70010000017149
끝내주게 춤춰라 메이드 인 와리오,54800,38360,30%,2025-08-13,2025/8/13 23:59,https://store.nintendo.co.kr/70010000068680
It Takes Two,47000,23500,50%,2025-08-13,2025/8/14 23:59,https://store.nintendo.co.kr/70070000014923
페르소나5 더 로열 (PERSONA5 THE ROYAL),69800,27920,60%,2025-08-13,2025/8/13 23:59,https://store.nintendo.co.kr/70010000043097
유니콘 오버로드(Unicorn Overlord),69800,38390,45%,2025-08-13,2025/8/13 23:59,https://store.nintendo.co.kr/70010000065197
옥토패스 트래블러 II (OCTOPATH TRAVELER II),69800,27920,60%,2025-08-13,2025/8/13 23:59,https://store.nintendo.co.kr/70010000058125
짱구는 못말려 나와 박사의 여름 방학~끝나지 않는 7일간의 여행~,59800,29900,50%,2025-08-13,2025/8/17 23:59,https://store.nintendo.co.kr/70010000049558
로맨싱 사가 2 리벤지 오브 더 세븐 Nintendo Switch 2 Edition,59800,41860,30%,2025-08-13,2025/8/13 23:59,https://store.nintendo.co.kr/70010000098272
마리오 + 래비드 반짝이는 희망(MARIO + RABBIDS SPARKS OF HOPE),64800,11000,83%,2025-08-13,2025/8/13 23:59,https://store.nintendo.co.kr/70010000054004
마리오 vs. 동키콩,54800,38360,30%,2025-08-13,2025/8/13 23:59,https://store.nintendo.co.kr/70010000072193
짱구는 못 말려『탄광마을의 흰둥이』,64800,45360,30%,2025-08-13,2025/8/17 23:59,https://store.nintendo.co.kr/70010000075307
XCOM 2 컬렉션,54000,8100,85%,2025-08-13,2025/8/24 23:59,https://store.nintendo.co.kr/70010000025494
MONSTER HUNTER RISE + SUNBREAK 세트,69800,17450,75%,2025-08-13,2025/8/24 23:59,https://store.nintendo.co.kr/70070000013806
차근차근 게임 코딩,32800,22960,30%,2025-08-13,2025/8/13 23:59,https://store.nintendo.co.kr/70010000041269
