Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
8번 출구,4500,3600,20%,2025-11-06,2025/11/17 23:59,https://store.nintendo.co.kr/70010000079121
저스트 댄스 2025 에디션,59000,23000,61%,2025-11-06,2025/11/12 23:59,https://store.nintendo.co.kr/70070000020994
Dinkum(딩컴),24000,21600,10%,2025-11-06,2025/11/6 08:59,https://store.nintendo.co.kr/70010000088500
장미와 동백 - 호화찬란 버전,15560,6220,60%,2025-11-06,2025/11/17 23:59,https://store.nintendo.co.kr/70010000062210
도라에몽 진구의 목장 이야기,59800,5800,90%,2025-11-06,2025/11/23 23:59,https://store.nintendo.co.kr/70010000019943
8번 승강장,4500,3600,20%,2025-11-06,2025/11/17 23:59,https://store.nintendo.co.kr/70010000085175
드래곤 퀘스트 III HD-2D Remake,69800,45370,35%,2025-11-06,2025/11/25 23:59,https://store.nintendo.co.kr/70010000077712
페르시아의 왕자: 잃어버린 왕관,35000,12000,66%,2025-11-06,2025/11/12 23:59,https://store.nintendo.co.kr/70010000057918
바텐 카이토스 Ⅰ＆Ⅱ HD Remaster,59800,17800,70%,2025-11-06,2025/11/16 23:59,https://store.nintendo.co.kr/70010000055736
다함께 쿠키요미2 ～레이와～,5250,2620,50%,2025-11-06,2025/11/25 23:59,https://store.nintendo.co.kr/70010000031984
Goblin Sword,7000,1900,73%,2025-11-06,2025/11/19 23:59,https://store.nintendo.co.kr/70010000030187
Vampire Survivors,4990,3740,25%,2025-11-06,2025/11/13 23:59,https://store.nintendo.co.kr/70010000058999
MONOPOLY®,35000,17000,51%,2025-11-06,2025/11/12 23:59,https://store.nintendo.co.kr/70010000069634
BIOHAZARD REVELATIONS 2,23800,5950,75%,2025-11-06,2025/11/13 23:59,https://store.nintendo.co.kr/70010000049893
테일즈 오브 베스페리아 REMASTER,59800,11800,80%,2025-11-06,2025/11/16 23:59,https://store.nintendo.co.kr/70010000013581
Achilles: Survivor,9700,8240,15%,2025-11-06,2025/11/28 23:59,https://store.nintendo.co.kr/70010000098938
뇌를 단련하자! 경치사진에서 틀린부분 찾기,3900,1950,50%,2025-11-06,2025/11/22 23:59,https://store.nintendo.co.kr/70010000071489
Ace Angler 낚시 스피릿 파닥파닥 즐거운 수족관,54800,19800,64%,2025-11-06,2025/11/9 23:59,https://store.nintendo.co.kr/70010000054583
SD건담 배틀 얼라이언스,79800,13800,83%,2025-11-06,2025/11/9 23:59,https://store.nintendo.co.kr/70010000050233
디즈니 썸썸 페스티벌,59800,4800,92%,2025-11-06,2025/11/23 23:59,https://store.nintendo.co.kr/70010000022755
biohazard 4,23800,5950,75%,2025-11-06,2025/11/13 23:59,https://store.nintendo.co.kr/70010000012857
BIOHAZARD 6,23800,5950,75%,2025-11-06,2025/11/13 23:59,https://store.nintendo.co.kr/70010000015879
BIOHAZARD 5,23800,5950,75%,2025-11-06,2025/11/13 23:59,https://store.nintendo.co.kr/70010000015875
Tangle Tower,21870,4370,80%,2025-11-06,2025/11/16 23:59,https://store.nintendo.co.kr/70010000022630
용과 같이 극,29800,22350,25%,2025-11-06,2025/11/23 23:59,https://store.nintendo.co.kr/70010000084472
F1® Manager 2024,37500,11250,70%,2025-11-06,2025/11/13 23:59,https://store.nintendo.co.kr/70010000072752
Planet of Lana,24900,4980,80%,2025-11-06,2025/11/9 23:59,https://store.nintendo.co.kr/70010000073406
Hammerwatch II,32150,6430,80%,2025-11-06,2025/11/11 23:59,https://store.nintendo.co.kr/70010000071779
Rabbids 서유기: 광란의 파티,45500,9000,80%,2025-11-06,2025/11/12 23:59,https://store.nintendo.co.kr/70010000039786
태고의 달인 쿵딱! 두 가지 RPG 대모험,54800,15800,71%,2025-11-06,2025/11/16 23:59,https://store.nintendo.co.kr/70010000032292
Rift of the NecroDancer,21500,13970,35%,2025-11-06,2025/11/11 23:59,https://store.nintendo.co.kr/70010000064325
Stacklands,16500,9900,40%,2025-11-06,2025/11/22 23:59,https://store.nintendo.co.kr/70010000069127
Double Dragon Gaiden: Rise of the Dragons,32900,9870,70%,2025-11-06,2025/11/11 23:59,https://store.nintendo.co.kr/70010000070054
DREDGE,27800,11120,60%,2025-11-06,2025/11/23 23:59,https://store.nintendo.co.kr/70010000049265
BIOHAZARD RE:2 CLOUD,44800,11200,75%,2025-11-06,2025/11/13 23:59,https://store.nintendo.co.kr/70010000054009
Assassin’s Creed®: The Rebel Collection,49500,12000,76%,2025-11-06,2025/11/12 23:59,https://store.nintendo.co.kr/70010000019187
스노우 브라더스 2 스페셜 (SNOW BROS. 2 SPECIAL),44800,26880,40%,2025-11-06,2025/11/19 23:59,https://store.nintendo.co.kr/70010000084494
Gordian Quest,26410,3960,85%,2025-11-06,2025/11/11 23:59,https://store.nintendo.co.kr/70010000062340
Moving Out 2,34800,13920,60%,2025-11-06,2025/11/23 23:59,https://store.nintendo.co.kr/70010000052931
BIOHAZARD 7 resident evil CLOUD,44800,11200,75%,2025-11-06,2025/11/13 23:59,https://store.nintendo.co.kr/70010000057130
도라에몽 진구의 목장이야기 대자연의 왕국과 모두의 집,59800,29800,50%,2025-11-06,2025/11/16 23:59,https://store.nintendo.co.kr/70010000049988
ASSASSIN’S CREED® THE EZIO COLLECTION,55000,13500,75%,2025-11-06,2025/11/12 23:59,https://store.nintendo.co.kr/70010000038688
드래곤볼 Z 카카로트 + 새로운 각성 편,29800,19800,34%,2025-11-06,2025/11/23 23:59,https://store.nintendo.co.kr/70010000035339
다이시 던전,14900,2980,80%,2025-11-06,2025/11/6 23:59,https://store.nintendo.co.kr/70010000028409
Yuppie Psycho: Executive Edition,19590,7840,60%,2025-11-06,2025/11/14 23:59,https://store.nintendo.co.kr/70010000030172
나의 히어로 원즈 저스티스2,49800,12800,74%,2025-11-06,2025/11/23 23:59,https://store.nintendo.co.kr/70010000018821
드래곤 나이츠 크로니클(Dragon Knights Chronicle),29000,23200,20%,2025-11-06,2025/11/19 23:59,https://store.nintendo.co.kr/70010000091611
MOBILE SUIT GUNDAM SEED BATTLE DESTINY REMASTERED,49800,39800,20%,2025-11-06,2025/11/9 23:59,https://store.nintendo.co.kr/70010000095443
레드 데드 리뎀션,64800,38880,40%,2025-11-06,2025/11/19 23:59,https://store.nintendo.co.kr/70010000058658
Trifox,22500,4500,80%,2025-11-06,2025/11/6 23:59,https://store.nintendo.co.kr/70010000059331
디지몬 월드 넥스트 오더,59800,9800,84%,2025-11-06,2025/11/30 23:59,https://store.nintendo.co.kr/70010000042394
BIOHAZARD RE:3 CLOUD,34800,11480,67%,2025-11-06,2025/11/13 23:59,https://store.nintendo.co.kr/70010000054014
Dark Deity,27000,6750,75%,2025-11-06,2025/11/23 23:59,https://store.nintendo.co.kr/70010000041400
No More Heroes,22000,7700,65%,2025-11-06,2025/11/21 23:59,https://store.nintendo.co.kr/70010000041061
룬 팩토리 4 스페셜,29800,14900,50%,2025-11-06,2025/12/1 23:59,https://store.nintendo.co.kr/70010000018934
드래곤 퀘스트 XI S 지나간 시간을 찾아서 - Definitive Edition,49800,24900,50%,2025-11-06,2025/11/25 23:59,https://store.nintendo.co.kr/70010000022822
사이쿄 컬렉션 Vol.2,34000,10200,70%,2025-11-06,2025/11/21 23:59,https://store.nintendo.co.kr/70010000014357
Smack it! PUNCH CHAMPION,5000,3000,40%,2025-11-06,2025/11/12 23:59,https://store.nintendo.co.kr/70010000103939
SWORN,27800,22240,20%,2025-11-06,2025/11/12 23:59,https://store.nintendo.co.kr/70010000085295
카드 타운,16500,13200,20%,2025-11-06,2025/11/16 23:59,https://store.nintendo.co.kr/70010000092202
Final Formation,25000,22500,10%,2025-11-06,2025/11/12 23:59,https://store.nintendo.co.kr/70010000087965
Yandere Boyfriend Simulator: Psycho Romance Game,34990,13990,60%,2025-11-06,2025/11/30 23:59,https://store.nintendo.co.kr/70010000102347
마녀가미－The Witch of Luludidea－,65000,58500,10%,2025-11-06,2025/11/12 23:59,https://store.nintendo.co.kr/70010000097799
Truck Simulator 25: Euro Driver,13990,4190,70%,2025-11-06,2025/11/6 23:59,https://store.nintendo.co.kr/70010000102030
NBA 2K26,69800,31410,55%,2025-11-06,2025/11/19 23:59,https://store.nintendo.co.kr/70010000095399
Sid Meier's Civilization® VII – Nintendo Switch 2 Edition (시드 마이어의 문명® VII – Nintendo Switch 2 에디션),83000,53950,35%,2025-11-06,2025/11/19 23:59,https://store.nintendo.co.kr/70010000097161
귀무자2 (Onimusha 2: Samurai's Destiny),34800,27800,20%,2025-11-06,2025/11/30 23:59,https://store.nintendo.co.kr/70010000084001
Restaurant Tycoon: My Cooking Empire,42160,3000,93%,2025-11-06,2025/11/25 23:59,https://store.nintendo.co.kr/70010000045865
Refind Self: 성격 진단 게임,10800,8640,20%,2025-11-06,2025/11/17 23:59,https://store.nintendo.co.kr/70010000078743
버니 가든,29800,20860,30%,2025-11-06,2025/11/21 23:59,https://store.nintendo.co.kr/70010000081134
The Star Named EOS - 별을 향한 여정,16500,11550,30%,2025-11-06,2025/11/17 23:59,https://store.nintendo.co.kr/70010000072432
몬스터헌터 스토리즈（Monster Hunter Stories）,34800,22960,34%,2025-11-06,2025/11/13 23:59,https://store.nintendo.co.kr/70010000066337
Culinary Cooking Master Simulator,17690,4840,73%,2025-11-06,2025/11/9 23:59,https://store.nintendo.co.kr/70010000080303
더 다크 픽처스 앤솔로지: 리틀 호프 (The Dark Pictures Anthology: Little Hope),24800,12800,48%,2025-11-06,2025/11/16 23:59,https://store.nintendo.co.kr/70010000051067
버스 운전 시뮬레이터 22 (Bus Driving Simulator 22),39000,5700,85%,2025-11-06,2025/11/21 23:59,https://store.nintendo.co.kr/70010000067198
Sherlock Purr,25000,1000,96%,2025-11-06,2025/11/25 23:59,https://store.nintendo.co.kr/70010000065174
LEGO® Bricktales,31000,6200,80%,2025-11-06,2025/11/9 23:59,https://store.nintendo.co.kr/70010000052106
파: 변화의 파도,23400,7020,70%,2025-11-06,2025/11/13 23:59,https://store.nintendo.co.kr/70010000042066
