Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
Overcooked! All You Can Eat,41000,16400,60%,2025-10-23,2025/10/25 23:59,https://store.nintendo.co.kr/70010000037360
호그와트 레거시 Hogwarts Legacy,79800,15960,80%,2025-10-23,2025/11/2 23:59,https://store.nintendo.co.kr/70010000062279
데이브 더 다이버 (DAVE THE DIVER),24000,15600,35%,2025-10-23,2025/10/31 23:59,https://store.nintendo.co.kr/70010000060369
다함께 쿠키요미,5250,2620,50%,2025-10-23,2025/11/4 23:59,https://store.nintendo.co.kr/70010000027865
Figment,19990,1000,95%,2025-10-23,2025/11/11 23:59,https://store.nintendo.co.kr/70010000039724
Figment 2: Creed Valley,25590,1980,92%,2025-10-23,2025/10/26 23:59,https://store.nintendo.co.kr/70010000046996
라스트 캠프파이어,16000,1600,90%,2025-10-23,2025/11/5 23:59,https://store.nintendo.co.kr/70010000028623
Kingdom Two Crowns,20500,4000,80%,2025-10-23,2025/10/23 23:59,https://store.nintendo.co.kr/70010000042688
갓 이터 3,39800,3800,90%,2025-10-23,2025/10/26 23:59,https://store.nintendo.co.kr/70010000019407
Unrailed!,25990,5190,80%,2025-10-23,2025/11/4 23:59,https://store.nintendo.co.kr/70010000034669
마리오와 소닉 AT 2020 도쿄 올림픽™,59800,29900,50%,2025-10-23,2025/11/4 23:59,https://store.nintendo.co.kr/70010000013896
호그와트 레거시Hogwarts Legacy,79800,55860,30%,2025-10-23,2025/11/2 23:59,https://store.nintendo.co.kr/70010000095419
8번 출구,4500,3600,20%,2025-10-23,2025/11/17 23:59,https://store.nintendo.co.kr/70010000079121
Shift Happens,12000,1200,90%,2025-10-23,2025/11/4 23:59,https://store.nintendo.co.kr/70010000052333
No Man's Sky Nintendo Switch 2 Edition,64800,25920,60%,2025-10-23,2025/11/5 23:59,https://store.nintendo.co.kr/70010000099218
장미와 동백 - 호화찬란 버전,15560,6220,60%,2025-10-23,2025/11/17 23:59,https://store.nintendo.co.kr/70010000062210
에이스 컴뱃 7: 스카이즈 언노운 디럭스 에디션（ACE COMBAT™7: SKIES UNKNOWN DELUXE EDITION）,49800,16800,66%,2025-10-23,2025/10/26 23:59,https://store.nintendo.co.kr/70010000074353
Celeste,21500,5380,75%,2025-10-23,2025/11/3 23:59,https://store.nintendo.co.kr/70010000064972
SD건담 배틀 얼라이언스,79800,13800,83%,2025-10-23,2025/11/9 23:59,https://store.nintendo.co.kr/70010000050233
Dinkum(딩컴),24000,21600,10%,2025-10-23,2025/11/6 08:59,https://store.nintendo.co.kr/70010000088500
소드 아트 온라인 -페이탈 불릿- Complete Edition,59800,6800,89%,2025-10-23,2025/11/9 23:59,https://store.nintendo.co.kr/70010000014621
Scoop it! Crane Game,7000,5000,29%,2025-10-23,2026/1/6 23:59,https://store.nintendo.co.kr/70010000103473
Kingdom Come Deliverance: Royal Edition,64800,16200,75%,2025-10-23,2025/10/31 23:59,https://store.nintendo.co.kr/70010000056683
Don't Starve Together,15500,5270,66%,2025-10-23,2025/11/2 23:59,https://store.nintendo.co.kr/70010000060781
Ni no Kuni™ II: Revenant Kingdom PRINCE'S EDITION,64800,8800,86%,2025-10-23,2025/11/2 23:59,https://store.nintendo.co.kr/70010000037236
Moving Out,32600,6520,80%,2025-10-23,2025/10/25 23:59,https://store.nintendo.co.kr/70010000029909
다함께 쿠키요미4 Nintendo Switch 2 Edition,14500,10150,30%,2025-10-23,2026/1/31 23:59,https://store.nintendo.co.kr/70010000100767
8번 승강장,4500,3600,20%,2025-10-23,2025/11/17 23:59,https://store.nintendo.co.kr/70010000085175
버스 운전 시뮬레이터 24 - 도시 도로 (Bus Driving Simulator 24 - City Roads),33000,3900,88%,2025-10-23,2025/10/25 23:59,https://store.nintendo.co.kr/70010000075155
Batman: Arkham City,33800,13520,60%,2025-10-23,2025/11/2 23:59,https://store.nintendo.co.kr/70010000045908
GRID™ Autosport,33990,24990,26%,2025-10-23,2025/11/2 23:59,https://store.nintendo.co.kr/70010000015908
The Survivalists,29600,5920,80%,2025-10-23,2025/10/25 23:59,https://store.nintendo.co.kr/70010000032627
Cat God Ranch,13490,10790,20%,2025-10-23,2025/10/29 23:59,https://store.nintendo.co.kr/70010000103835
원피스 오디세이 디럭스 에디션,59800,29800,50%,2025-10-23,2025/11/2 23:59,https://store.nintendo.co.kr/70010000063982
좀비우드 (Zombiewood),13000,5200,60%,2025-10-23,2025/10/31 23:59,https://store.nintendo.co.kr/70010000076256
Blasphemous 2,34800,17400,50%,2025-10-23,2025/10/25 23:59,https://store.nintendo.co.kr/70010000070221
24h편의점 스토리(Convenience Stories),15000,4950,67%,2025-10-23,2025/10/28 23:59,https://store.nintendo.co.kr/70010000061350
Ace Angler 낚시 스피릿 파닥파닥 즐거운 수족관,54800,19800,64%,2025-10-23,2025/11/9 23:59,https://store.nintendo.co.kr/70010000054583
Ship of Fools,25200,10080,60%,2025-10-23,2025/10/25 23:59,https://store.nintendo.co.kr/70010000052585
Sifu,54000,16200,70%,2025-10-23,2025/11/1 23:59,https://store.nintendo.co.kr/70010000050835
드래곤볼 더 브레이커즈,24800,3800,85%,2025-10-23,2025/11/2 23:59,https://store.nintendo.co.kr/70010000029641
No Man's Sky,64800,25920,60%,2025-10-23,2025/11/5 23:59,https://store.nintendo.co.kr/70010000044639
Knights & Guns,34400,1000,97%,2025-10-23,2025/10/28 23:59,https://store.nintendo.co.kr/70010000042142
S.N.I.P.E.R. - Hunter Scope,44700,1000,98%,2025-10-23,2025/10/28 23:59,https://store.nintendo.co.kr/70010000042686
Super Mining Mechs,12000,9600,20%,2025-10-23,2025/10/29 23:59,https://store.nintendo.co.kr/70010000097216
We Were Here Together,16400,14760,10%,2025-10-23,2025/10/23 23:59,https://store.nintendo.co.kr/70010000098146
Discounty: 크레이지 마트,22800,18240,20%,2025-10-23,2025/10/31 23:59,https://store.nintendo.co.kr/70010000100101
달콤한 중력,3990,2390,40%,2025-10-23,2025/11/2 23:59,https://store.nintendo.co.kr/70010000087368
유적 탐색자（Artifact Seeker）,12000,2400,80%,2025-10-23,2025/10/23 23:59,https://store.nintendo.co.kr/70010000084295
Biped,15500,3100,80%,2025-10-23,2025/11/2 23:59,https://store.nintendo.co.kr/70010000030271
미제사건은 끝내야 하니까,10800,7560,30%,2025-10-23,2025/11/17 23:59,https://store.nintendo.co.kr/70010000083095
전생했더니 슬라임이었던 건에 대하여 템페스트 스토리즈,59800,23800,60%,2025-10-23,2025/11/2 23:59,https://store.nintendo.co.kr/70010000062356
ANIMAL WELL,25000,18750,25%,2025-10-23,2025/10/31 23:59,https://store.nintendo.co.kr/70010000065086
Dungeon Drafters,25270,16420,35%,2025-10-23,2025/10/26 23:59,https://store.nintendo.co.kr/70010000065739
Knights of Braveland,27100,10950,60%,2025-10-23,2025/10/23 23:59,https://store.nintendo.co.kr/70010000070173
Batman: Arkham Knight,33800,13520,60%,2025-10-23,2025/11/2 23:59,https://store.nintendo.co.kr/70010000045913
Kingdom Eighties,14900,5960,60%,2025-10-23,2025/10/23 23:59,https://store.nintendo.co.kr/70010000061382
Operate Now: Hospital,10000,1000,90%,2025-10-23,2025/10/28 23:59,https://store.nintendo.co.kr/70010000066733
Untitled Goose Game,20500,10250,50%,2025-10-23,2025/10/26 23:59,https://store.nintendo.co.kr/70010000067772
Blackguards 2,12000,1200,90%,2025-10-23,2025/11/4 23:59,https://store.nintendo.co.kr/70010000051893
Silence,19000,1900,90%,2025-10-23,2025/11/4 23:59,https://store.nintendo.co.kr/70010000015287
LEGO® Star Wars™: 스카이워커 사가 (The Skywalker Saga),64800,12960,80%,2025-10-23,2025/11/2 23:59,https://store.nintendo.co.kr/70010000049038
Sky Games 하늘 게임,17900,1000,94%,2025-10-23,2025/11/2 23:59,https://store.nintendo.co.kr/70010000048536
Marooners,16700,1000,94%,2025-10-23,2025/11/4 23:59,https://store.nintendo.co.kr/70010000025051
