Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
버스 운전 시뮬레이터 24 - 도시 도로 (Bus Driving Simulator 24 - City Roads),33000,3900,88%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000075155
Headbangers: Rhythm Royale,22500,2250,90%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000069974
The Witch's House MV,17650,7060,60%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000054072
Death's Gambit: Afterlife (데스 갬빗: 애프터라이프),42000,10500,75%,2025-08-30,2025/9/2 23:59,https://store.nintendo.co.kr/70010000049976
Wildcat Gun Machine,16400,1640,90%,2025-08-30,2025/9/2 23:59,https://store.nintendo.co.kr/70010000044392
LEGO® Star Wars™: 스카이워커 사가 (The Skywalker Saga),64800,12960,80%,2025-08-30,2025/9/7 23:59,https://store.nintendo.co.kr/70010000049038
Figment,19990,1000,95%,2025-08-30,2025/9/17 23:59,https://store.nintendo.co.kr/70010000039724
The Witcher 3: Wild Hunt,34990,8740,75%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000033069
라스트 캠프파이어,16000,1600,90%,2025-08-30,2025/9/8 23:59,https://store.nintendo.co.kr/70010000028623
더 네임리스: 슬레이 드래곤（The Nameless: Slay Dragon),19500,15600,20%,2025-08-30,2025/9/11 23:59,https://store.nintendo.co.kr/70010000099851
Supermarket CEO Simulator,6990,2990,57%,2025-08-30,2025/8/30 23:59,https://store.nintendo.co.kr/70010000099879
Project Zombie,18190,2790,85%,2025-08-30,2025/9/2 23:59,https://store.nintendo.co.kr/70010000097189
Phantom Breaker: Battle Grounds Ultimate,29800,14900,50%,2025-08-30,2025/9/4 23:59,https://store.nintendo.co.kr/70010000062586
Blade Chimera,21500,15050,30%,2025-08-30,2025/9/14 23:59,https://store.nintendo.co.kr/70010000072399
포셔노믹스 -신비한 마법물약 상점-,33000,23100,30%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000084138
Arranger: A Role-Puzzling Adventure,24900,9960,60%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000077908
Cooking Tycoons 3: 3 in 1 Bundle,16200,1000,94%,2025-08-30,2025/9/9 23:59,https://store.nintendo.co.kr/70010000042694
Railbound: 레일바운드,18490,1000,95%,2025-08-30,2025/8/31 23:59,https://store.nintendo.co.kr/70010000059885
Cult of the Lamb,25000,12500,50%,2025-08-30,2025/9/11 23:59,https://store.nintendo.co.kr/70010000047970
던전마을 스토리2(Dungeon Village 2),15000,7500,50%,2025-08-30,2025/9/2 23:59,https://store.nintendo.co.kr/70010000052832
