Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
Street Fighter 6,44800,22400,50%,2025-09-27,2025/10/12 23:59,https://store.nintendo.co.kr/70010000095205
도라에몽 진구의 목장 이야기,59800,5800,90%,2025-09-27,2025/9/29 23:59,https://store.nintendo.co.kr/70010000019943
태고의 달인 쿵딱! 원더풀 페스티벌,59800,14800,75%,2025-09-27,2025/9/29 23:59,https://store.nintendo.co.kr/70010000035482
휴먼: 폴 플랫 (Human: Fall Flat),16000,4800,70%,2025-09-27,2025/10/8 23:59,https://store.nintendo.co.kr/70010000028499
귀멸의 칼날 히노카미 혈풍담,59800,17940,70%,2025-09-27,2025/10/7 23:59,https://store.nintendo.co.kr/70010000048382
디지몬 서바이브,59800,9800,84%,2025-09-27,2025/9/29 23:59,https://store.nintendo.co.kr/70010000042188
드래곤 퀘스트 XI S 지나간 시간을 찾아서 - Definitive Edition,49800,24900,50%,2025-09-27,2025/10/8 23:59,https://store.nintendo.co.kr/70010000022822
옥토패스 트래블러 II (OCTOPATH TRAVELER II),69800,27920,60%,2025-09-27,2025/10/9 23:59,https://store.nintendo.co.kr/70010000058125
페르소나5 더 로열 (PERSONA5 THE ROYAL),69800,24430,65%,2025-09-27,2025/10/7 23:59,https://store.nintendo.co.kr/70010000043097
Phoenix Wright: Ace Attorney Trilogy(역전재판 123 나루호도 셀렉션),34800,11480,67%,2025-09-27,2025/10/12 23:59,https://store.nintendo.co.kr/70010000015845
역전재판 456 오도로키 셀렉션,54800,27400,50%,2025-09-27,2025/10/12 23:59,https://store.nintendo.co.kr/70010000067774
틀린 그림 찾기 전집 -우뇌의 달인- for Nintendo Switch,32800,7800,76%,2025-09-27,2025/10/19 23:59,https://store.nintendo.co.kr/70010000035689
역전검사 1&2 미츠루기 셀렉션,44800,33600,25%,2025-09-27,2025/10/12 23:59,https://store.nintendo.co.kr/70010000078418
리틀 나이트메어 2 (Little Nightmares II),29800,9800,67%,2025-09-27,2025/9/29 23:59,https://store.nintendo.co.kr/70010000021687
드래곤 퀘스트 III HD-2D Remake,69800,45370,35%,2025-09-27,2025/10/8 23:59,https://store.nintendo.co.kr/70010000077712
