Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
Nintendo Switch Sports,44800,31360,30%,2025-10-02,2025/10/12 23:59,https://store.nintendo.co.kr/70010000049933
귀멸의 칼날 히노카미 혈풍담,59800,17940,70%,2025-10-02,2025/10/7 23:59,https://store.nintendo.co.kr/70010000048382
Street Fighter 6,44800,22400,50%,2025-10-02,2025/10/12 23:59,https://store.nintendo.co.kr/70010000095205
MONSTER HUNTER RISE + SUNBREAK 세트,69800,17450,75%,2025-10-02,2025/10/12 23:59,https://store.nintendo.co.kr/70070000013806
Overcooked! All You Can Eat,41000,16400,60%,2025-10-02,2025/10/25 23:59,https://store.nintendo.co.kr/70010000037360
휴먼: 폴 플랫 (Human: Fall Flat),16000,4800,70%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70010000028499
파이어 엠블렘 풍화설월 + 익스팬션 패스 세트,92800,64960,30%,2025-10-02,2025/10/12 23:59,https://store.nintendo.co.kr/70070000006662
드래곤 퀘스트 XI S 지나간 시간을 찾아서 - Definitive Edition,49800,24900,50%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70010000022822
페르소나5 더 로열 (PERSONA5 THE ROYAL),69800,24430,65%,2025-10-02,2025/10/7 23:59,https://store.nintendo.co.kr/70010000043097
파이어 엠블렘 풍화설월 익스팬션 패스,28000,19600,30%,2025-10-02,2025/10/12 23:59,https://store.nintendo.co.kr/70070000006661
파이어 엠블렘 풍화설월,64800,45360,30%,2025-10-02,2025/10/12 23:59,https://store.nintendo.co.kr/70010000021361
옥토패스 트래블러 II (OCTOPATH TRAVELER II),69800,27920,60%,2025-10-02,2025/10/9 23:59,https://store.nintendo.co.kr/70010000058125
페이퍼 마리오 1000년의 문,64800,45360,30%,2025-10-02,2025/10/12 23:59,https://store.nintendo.co.kr/70010000079169
루이지 맨션 2 HD,64800,45360,30%,2025-10-02,2025/10/12 23:59,https://store.nintendo.co.kr/70010000077702
프린세스 메이커 -꿈꾸는 요정-,29800,11920,60%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70010000009369
별의 커비 스타 얼라이즈,64800,45360,30%,2025-10-02,2025/10/12 23:59,https://store.nintendo.co.kr/70010000009382
유니콘 오버로드(Unicorn Overlord),69800,38390,45%,2025-10-02,2025/10/7 23:59,https://store.nintendo.co.kr/70010000065197
Phoenix Wright: Ace Attorney Trilogy(역전재판 123 나루호도 셀렉션),34800,11480,67%,2025-10-02,2025/10/12 23:59,https://store.nintendo.co.kr/70010000015845
틀린 그림 찾기 전집 -우뇌의 달인- for Nintendo Switch,32800,7800,76%,2025-10-02,2025/10/19 23:59,https://store.nintendo.co.kr/70010000035689
마이 타임 앳 샌드록 (My Time at Sandrock),42000,21000,50%,2025-10-02,2025/10/9 23:59,https://store.nintendo.co.kr/70010000070995
역전검사 1&2 미츠루기 셀렉션,44800,33600,25%,2025-10-02,2025/10/12 23:59,https://store.nintendo.co.kr/70010000078418
버블보블 4 프렌즈,49800,14940,70%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70010000024515
역전재판 456 오도로키 셀렉션,54800,27400,50%,2025-10-02,2025/10/12 23:59,https://store.nintendo.co.kr/70010000067774
NieR:Automata The End of YoRHa Edition,49800,19920,60%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70010000048605
드래곤 퀘스트 III HD-2D Remake,69800,45370,35%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70010000077712
PATAPON 1+2 REPLAY,39800,31800,20%,2025-10-02,2025/10/19 23:59,https://store.nintendo.co.kr/70010000088392
이스 VIII -Lacrimosa of DANA-,59800,29900,50%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70010000027030
원피스 해적무쌍 4,49800,9800,80%,2025-10-02,2025/10/19 23:59,https://store.nintendo.co.kr/70010000018442
로맨싱 사가 2 리벤지 오브 더 세븐 Nintendo Switch 2 Edition,59800,35880,40%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70010000098272
레드 데드 리뎀션,64800,38880,40%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70010000058658
페르소나4 더 골든 (Persona 4 The Golden),19800,11880,40%,2025-10-02,2025/10/7 23:59,https://store.nintendo.co.kr/70010000060322
FINAL FANTASY VI,21900,14010,36%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70010000056589
마리오 + 래비드 반짝이는 희망(MARIO + RABBIDS SPARKS OF HOPE),64800,11000,83%,2025-10-02,2025/10/19 23:59,https://store.nintendo.co.kr/70010000054004
뿌요뿌요™테트리스®２,49800,24900,50%,2025-10-02,2025/10/7 23:59,https://store.nintendo.co.kr/70010000029304
FINAL FANTASY X/X-2 HD Remaster,54400,21500,60%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70010000016261
나루토 X 보루토 나루티밋 스톰 커넥션즈,69800,27800,60%,2025-10-02,2025/10/19 23:59,https://store.nintendo.co.kr/70010000056878
MONSTER HUNTER RISE: SUNBREAK,44800,11200,75%,2025-10-02,2025/10/12 23:59,https://store.nintendo.co.kr/70050000032586
13기병방위권,64800,25920,60%,2025-10-02,2025/10/7 23:59,https://store.nintendo.co.kr/70010000046017
용과 같이 극,29800,22350,25%,2025-10-02,2025/10/7 23:59,https://store.nintendo.co.kr/70010000084472
다키스트 던전,27000,5400,80%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70010000040591
Pocket Nook,10990,2990,73%,2025-10-02,2025/10/14 23:59,https://store.nintendo.co.kr/70010000104135
"귀멸의 칼날: 도전, 최강의 대원!",49800,22410,55%,2025-10-02,2025/10/7 23:59,https://store.nintendo.co.kr/70010000067656
퍼즐버블 에브리버블!,49800,29880,40%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70010000063915
목장이야기 올리브 타운과 희망의 대지,59800,17940,70%,2025-10-02,2025/10/7 23:59,https://store.nintendo.co.kr/70010000033280
다함께 쿠키요미4 Nintendo Switch 2 Edition,14500,10150,30%,2025-10-02,2026/1/31 23:59,https://store.nintendo.co.kr/70010000100767
다함께 쿠키요미4,8900,5670,36%,2025-10-02,2025/10/15 23:59,https://store.nintendo.co.kr/70010000088682
MONSTER HUNTER RISE + SUNBREAK 더블 디럭스 세트,79800,22340,72%,2025-10-02,2025/10/12 23:59,https://store.nintendo.co.kr/70070000013811
Super Bunny Man,16000,12000,25%,2025-10-02,2025/10/4 23:59,https://store.nintendo.co.kr/70010000075281
Core Keeper,22800,15960,30%,2025-10-02,2025/10/9 23:59,https://store.nintendo.co.kr/70010000079457
Street Fighter 30th Anniversary Collection,36400,12000,67%,2025-10-02,2025/10/12 23:59,https://store.nintendo.co.kr/70010000008801
돌연변이 닌자 거북이: 슈레더의 복수 (Teenage Mutant Ninja Turtles: Shredder's Revenge),29800,17880,40%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70010000052145
Grand Theft Auto: 트릴로지 – 데피니티브 에디션,65000,26000,60%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70070000013215
문명 VI,34000,6800,80%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70010000014595
룬 팩토리 4 스페셜,29800,14900,50%,2025-10-02,2025/10/7 23:59,https://store.nintendo.co.kr/70010000018934
진격의거인２ -Final Battle-,64800,32400,50%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70070000006284
STAR OCEAN THE SECOND STORY R,59800,35880,40%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70010000062081
테일즈 오브 심포니아 리마스터,49800,11800,76%,2025-10-02,2025/10/5 23:59,https://store.nintendo.co.kr/70010000047263
페르소나3 포터블 (Persona 3 Portable),19800,11880,40%,2025-10-02,2025/10/7 23:59,https://store.nintendo.co.kr/70010000060326
모비드: 일곱 명의 사도,26000,2600,90%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70010000037870
《이스：오리진 (Ys Origin)》,39800,19900,50%,2025-10-02,2025/10/9 23:59,https://store.nintendo.co.kr/70010000033407
도시전설 해체센터,19500,15600,20%,2025-10-02,2025/10/7 01:59,https://store.nintendo.co.kr/70010000073248
스너프킨: 무민 골짜기의 멜로디,24900,17430,30%,2025-10-02,2025/10/8 23:59,https://store.nintendo.co.kr/70010000069112
LIMBO,11000,1100,90%,2025-10-02,2025/10/5 23:59,https://store.nintendo.co.kr/70010000063879
소닉 슈퍼스타즈,49800,22410,55%,2025-10-02,2025/10/7 23:59,https://store.nintendo.co.kr/70010000050874
