Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
Overcooked! All You Can Eat,41000,13940,66%,2025-08-20,2025/8/31 23:59,https://store.nintendo.co.kr/70010000037360
Phoenix Wright: Ace Attorney Trilogy(역전재판 123 나루호도 셀렉션),34800,11480,67%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70010000015845
장미와 동백 - 호화찬란 버전,15560,6220,60%,2025-08-20,2025/9/14 23:59,https://store.nintendo.co.kr/70010000062210
역전재판 456 오도로키 셀렉션,54800,27400,50%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70010000067774
동물 타워 배틀,4800,3360,30%,2025-08-20,2025/9/1 23:59,https://store.nintendo.co.kr/70010000083838
저스트 댄스 2024 에디션,59000,23000,61%,2025-08-20,2025/8/27 23:59,https://store.nintendo.co.kr/70070000019047
8번 출구,4500,3600,20%,2025-08-20,2025/9/14 23:59,https://store.nintendo.co.kr/70010000079121
태고의 달인 쿵딱! 원더풀 페스티벌 태고 뮤직 패스 90일 이용권 세트,69800,23800,66%,2025-08-20,2025/9/1 23:59,https://store.nintendo.co.kr/70010000057569
역전검사 1&2 미츠루기 셀렉션,44800,33600,25%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70010000078418
MONSTER HUNTER RISE + SUNBREAK 세트,69800,17450,75%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70070000013806
Moving Out,32600,6520,80%,2025-08-20,2025/8/31 23:59,https://store.nintendo.co.kr/70010000029909
8번 승강장,4500,3600,20%,2025-08-20,2025/9/14 23:59,https://store.nintendo.co.kr/70010000085175
MONSTER HUNTER RISE + SUNBREAK 더블 디럭스 세트,79800,22340,72%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70070000013811
PICO PARK 2,9900,6930,30%,2025-08-20,2025/9/1 23:59,https://store.nintendo.co.kr/70010000077282
다함께 쿠키요미,5250,2620,50%,2025-08-20,2025/9/2 23:59,https://store.nintendo.co.kr/70010000027865
Staffer Case: 초능력 추리 어드벤처,24800,17360,30%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70010000090412
레드 데드 리뎀션,64800,38880,40%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70010000058658
도시전설 해체센터,19500,17550,10%,2025-08-20,2025/9/1 23:59,https://store.nintendo.co.kr/70010000073248
나인 솔즈 (Nine Sols),34800,20880,40%,2025-08-20,2025/9/1 23:59,https://store.nintendo.co.kr/70010000073075
선 헤이븐,35000,24500,30%,2025-08-20,2025/9/5 23:59,https://store.nintendo.co.kr/70010000073885
Celeste,21500,5370,75%,2025-08-20,2025/9/10 23:59,https://store.nintendo.co.kr/70010000064972
THE KING OF FIGHTERS XIII GLOBAL MATCH,29800,14900,50%,2025-08-20,2025/8/27 23:59,https://store.nintendo.co.kr/70010000062312
The Binding of Isaac: Repentance,51500,38600,25%,2025-08-20,2025/8/20 23:59,https://store.nintendo.co.kr/70010000046719
도라에몽 진구의 목장이야기 대자연의 왕국과 모두의 집,59800,14800,75%,2025-08-20,2025/8/26 23:59,https://store.nintendo.co.kr/70010000049988
갓 이터 3,39800,3800,90%,2025-08-20,2025/8/26 23:59,https://store.nintendo.co.kr/70010000019407
미제사건은 끝내야 하니까,10800,7560,30%,2025-08-20,2025/9/14 23:59,https://store.nintendo.co.kr/70010000083095
TUNIC,39200,19600,50%,2025-08-20,2025/9/1 23:59,https://store.nintendo.co.kr/70010000058412
페이퍼 트레일 Paper Trail,21500,2150,90%,2025-08-20,2025/8/21 23:59,https://store.nintendo.co.kr/70010000065430
Potion Craft: Alchemist Simulator,25900,9060,65%,2025-08-20,2025/8/27 23:59,https://store.nintendo.co.kr/70010000054957
아바마마와 돌아온 데굴데굴~쫀득쫀득~ 괴혼,34800,8800,75%,2025-08-20,2025/8/26 23:59,https://store.nintendo.co.kr/70010000055863
BIOHAZARD REVELATIONS 2,23800,9500,60%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70010000049893
Grand Theft Auto: 트릴로지 – 데피니티브 에디션,65000,26000,60%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70070000013215
얼티밋 치킨 호스,16000,7200,55%,2025-08-20,2025/8/29 23:59,https://store.nintendo.co.kr/70010000027445
원피스 오디세이 디럭스 에디션,59800,29800,50%,2025-08-20,2025/9/1 23:59,https://store.nintendo.co.kr/70010000063982
PICO PARK,5500,3850,30%,2025-08-20,2025/9/1 23:59,https://store.nintendo.co.kr/70010000019265
XCOM 2 컬렉션,54000,8100,85%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70010000025494
도라에몽의 팥빵 가게 스토리 (Doraemon Dorayaki Shop Story),25000,20000,20%,2025-08-20,2025/8/30 23:59,https://store.nintendo.co.kr/70010000078678
던그리드,16900,10900,36%,2025-08-20,2025/8/20 23:59,https://store.nintendo.co.kr/70010000014348
테일즈 오브 베스페리아 REMASTER,59800,11800,80%,2025-08-20,2025/9/1 23:59,https://store.nintendo.co.kr/70010000013581
Capcom Belt Action Collection,34800,17400,50%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70010000008902
에이스 컴뱃 7: 스카이즈 언노운 디럭스 에디션（ACE COMBAT™7: SKIES UNKNOWN DELUXE EDITION）,49800,24800,50%,2025-08-20,2025/8/26 23:59,https://store.nintendo.co.kr/70010000074353
Ember Knights,21500,10750,50%,2025-08-20,2025/8/26 23:59,https://store.nintendo.co.kr/70010000074385
Headbangers: Rhythm Royale,22500,2250,90%,2025-08-20,2025/8/31 23:59,https://store.nintendo.co.kr/70010000069974
Ghost Trick,34800,17400,50%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70010000053638
Untitled Goose Game,20500,10250,50%,2025-08-20,2025/9/1 23:59,https://store.nintendo.co.kr/70010000067772
Gang Beasts,25000,10000,60%,2025-08-20,2025/8/25 23:59,https://store.nintendo.co.kr/70010000033939
SHINOBI 복수의 참격,27800,25020,10%,2025-08-20,2025/8/29 12:59,https://store.nintendo.co.kr/70010000066780
호그와트 레거시Hogwarts Legacy,79800,55860,30%,2025-08-20,2025/9/7 23:59,https://store.nintendo.co.kr/70010000095419
전생했더니 슬라임이었던 건에 대하여 템페스트 스토리즈,59800,23800,60%,2025-08-20,2025/9/1 23:59,https://store.nintendo.co.kr/70010000062356
몬스터헌터 스토리즈（Monster Hunter Stories）,34800,22960,34%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70010000066337
"Little Kitty, Big City",29900,17940,40%,2025-08-20,2025/9/1 23:59,https://store.nintendo.co.kr/70010000077505
Terra Nil,27000,10800,60%,2025-08-20,2025/8/21 23:59,https://store.nintendo.co.kr/70010000072946
그림 가디언즈: 데몬 퍼지,34800,17400,50%,2025-08-20,2025/8/20 23:59,https://store.nintendo.co.kr/70010000061622
BIOHAZARD RE:2 CLOUD,44800,11200,75%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70010000054009
Street Fighter 30th Anniversary Collection,36400,12000,67%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70010000008801
MONSTER HUNTER RISE,44800,11200,75%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70010000029012
Aooni The Horror of Blueberry Onsen,14000,9800,30%,2025-08-20,2025/8/20 23:59,https://store.nintendo.co.kr/70010000091843
ENDER MAGNOLIA: Bloom in the Mist,34000,22100,35%,2025-08-20,2025/9/1 23:59,https://store.nintendo.co.kr/70010000078172
Cat Quest III,22800,13680,40%,2025-08-20,2025/8/27 23:59,https://store.nintendo.co.kr/70010000067862
Darkest Dungeon II,42000,25200,40%,2025-08-20,2025/8/29 23:59,https://store.nintendo.co.kr/70010000082555
There Is No Light,21000,7350,65%,2025-08-20,2025/8/22 23:59,https://store.nintendo.co.kr/70010000040217
Blasphemous 2,34800,17400,50%,2025-08-20,2025/8/31 23:59,https://store.nintendo.co.kr/70010000070221
다운타운 열혈이야기 SP,39800,19900,50%,2025-08-20,2025/8/27 23:59,https://store.nintendo.co.kr/70010000070161
Operate Now: Hospital,10000,1000,90%,2025-08-20,2025/9/2 23:59,https://store.nintendo.co.kr/70010000066733
열혈삼국지,44800,22400,50%,2025-08-20,2025/8/27 23:59,https://store.nintendo.co.kr/70010000051981
백 년의 봄날은 가고 The Centennial Case: A Shijima Story,59800,15540,74%,2025-08-20,2025/8/27 23:59,https://store.nintendo.co.kr/70010000048047
BIOHAZARD 5,23800,11900,50%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70010000015875
ENDER LILIES: Quietus of the Knights,27980,11190,60%,2025-08-20,2025/9/1 23:59,https://store.nintendo.co.kr/70010000035190
Among Us,5500,3300,40%,2025-08-20,2025/8/21 23:59,https://store.nintendo.co.kr/70010000036996
MONSTER HUNTER XX™ Nintendo Switch Ver.,48800,12200,75%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70010000037060
Mega Man 11,34500,11730,66%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70010000011229
Stuff it!,9650,1990,79%,2025-08-20,2025/9/8 23:59,https://store.nintendo.co.kr/70010000099214
얀데레 공방,10000,6000,40%,2025-08-20,2025/8/28 23:59,https://store.nintendo.co.kr/70010000098252
夏目友人帳 ～葉月の記～（나츠메 우인장 ～하즈키의 기록～）,53000,42400,20%,2025-08-20,2025/8/27 23:59,https://store.nintendo.co.kr/70010000090832
Risk of Rain 2,29000,7250,75%,2025-08-20,2025/8/24 23:59,https://store.nintendo.co.kr/70010000022858
페글린,21500,15050,30%,2025-08-20,2025/8/21 23:59,https://store.nintendo.co.kr/70010000084165
